,TF,Target,Label
0,11,1544,1
1,11,529,1
2,11,260,1
3,11,172,1
4,11,1134,1
5,11,1385,1
6,11,1145,1
7,11,580,1
8,11,433,1
9,11,1213,1
10,11,625,1
11,11,733,1
12,11,1073,1
13,11,479,1
14,11,1142,1
15,11,842,1
16,11,1536,1
17,11,1244,1
18,11,1207,1
19,11,904,1
20,11,545,1
21,11,1141,1
22,11,713,1
23,11,819,1
24,11,589,1
25,11,1326,1
26,11,19,1
27,11,1228,1
28,11,704,1
29,11,754,1
30,11,1351,1
31,11,1521,1
32,11,1475,1
33,11,89,1
34,11,1242,1
35,11,516,1
36,11,88,1
37,11,723,1
38,11,1580,1
39,11,1416,1
40,11,864,1
41,11,1284,1
42,11,631,1
43,11,571,1
44,11,1379,1
45,11,345,1
46,11,1488,1
47,11,539,1
48,11,950,1
49,11,1496,1
50,11,1023,1
51,11,1102,1
52,11,962,1
53,11,740,1
54,11,708,1
55,11,132,1
56,32,1123,1
57,32,704,1
58,32,595,1
59,32,1244,1
60,32,898,1
61,32,1480,1
62,32,1205,1
63,32,22,1
64,32,1576,1
65,32,1441,1
66,32,721,1
67,32,1207,1
68,32,1427,1
69,32,770,1
70,32,792,1
71,32,1414,1
72,32,454,1
73,32,672,1
74,32,1326,1
75,32,1260,1
76,32,1206,1
77,32,660,1
78,32,1523,1
79,32,1228,1
80,32,479,1
81,32,345,1
82,66,950,1
83,66,1294,1
84,66,965,1
85,66,1619,1
86,66,727,1
87,66,213,1
88,66,1387,1
89,66,416,1
90,66,588,1
91,66,510,1
92,66,1345,1
93,66,1265,1
94,66,473,1
95,66,529,1
96,66,966,1
97,66,1604,1
98,66,829,1
99,66,855,1
100,66,562,1
101,66,189,1
102,66,1295,1
103,66,1115,1
104,66,32,1
105,66,447,1
106,66,1447,1
107,66,273,1
108,66,760,1
109,66,59,1
110,66,1073,1
111,66,303,1
112,66,459,1
113,66,319,1
114,66,938,1
115,66,722,1
116,66,300,1
117,66,583,1
118,66,833,1
119,66,1015,1
120,66,575,1
121,66,1530,1
122,66,430,1
123,66,1197,1
124,66,1460,1
125,66,254,1
126,66,251,1
127,66,918,1
128,66,685,1
129,66,125,1
130,66,901,1
131,66,1455,1
132,66,1438,1
133,66,144,1
134,66,580,1
135,66,506,1
136,66,539,1
137,66,1432,1
138,66,255,1
139,66,751,1
