,TF,Target,Label
0,6,230,1
1,6,394,1
2,6,38,1
3,6,946,1
4,6,384,1
5,6,1375,1
6,6,276,1
7,6,431,1
8,6,94,1
9,6,875,1
10,6,1187,1
11,6,926,1
12,6,212,1
13,6,1047,1
14,6,650,1
15,8,1218,1
16,9,1237,1
17,9,686,1
18,9,890,1
19,9,984,1
20,16,171,1
21,16,931,1
22,24,1402,1
23,24,536,1
24,24,1069,1
25,24,344,1
26,24,287,1
27,24,933,1
28,24,610,1
29,24,14,1
30,24,1025,1
31,24,1136,1
32,24,420,1
33,24,663,1
34,24,1217,1
35,24,773,1
36,24,199,1
37,24,929,1
38,24,365,1
39,24,991,1
40,24,957,1
41,25,596,1
42,25,943,1
43,25,594,1
44,25,383,1
45,25,230,1
46,25,286,1
47,35,1010,1
48,35,1262,1
49,35,770,1
50,35,1030,1
51,35,94,1
52,35,938,1
53,38,681,1
54,38,32,1
55,38,286,1
56,38,238,1
57,38,860,1
58,38,1113,1
59,38,1283,1
60,38,563,1
61,38,1090,1
62,38,1319,1
63,38,513,1
64,38,602,1
65,38,1326,1
66,38,153,1
67,38,511,1
68,38,562,1
69,38,1187,1
70,38,1280,1
71,38,517,1
72,38,1102,1
73,38,970,1
74,38,35,1
75,38,1158,1
76,38,1230,1
77,38,674,1
78,38,141,1
79,38,1396,1
80,38,1014,1
81,38,340,1
82,38,150,1
83,38,830,1
84,38,104,1
85,38,249,1
86,38,509,1
87,38,294,1
88,38,727,1
89,38,571,1
90,41,94,1
91,41,771,1
92,41,146,1
93,41,1217,1
94,61,771,1
95,61,1144,1
96,61,551,1
97,61,1076,1
98,61,647,1
99,61,566,1
100,61,992,1
101,61,827,1
102,62,941,1
103,62,594,1
104,64,383,1
105,64,158,1
106,64,1339,1
107,64,1047,1
108,64,1322,1
109,64,75,1
110,73,807,1
111,80,753,1
112,80,674,1
113,80,47,1
114,80,140,1
115,80,8,1
116,80,1040,1
117,80,129,1
118,80,43,1
119,80,653,1
120,80,19,1
121,80,407,1
122,80,1337,1
123,80,1300,1
124,80,853,1
125,80,1041,1
126,80,771,1
127,80,342,1
128,80,1305,1
129,80,188,1
130,80,1282,1
131,80,290,1
132,80,566,1
133,80,1289,1
134,80,295,1
135,80,690,1
136,89,1047,1
137,103,62,1
138,106,385,1
139,106,1168,1
140,106,1047,1
141,106,914,1
142,106,716,1
143,106,953,1
144,106,602,1
145,106,1005,1
146,106,396,1
147,106,1348,1
148,106,975,1
149,106,1258,1
150,106,699,1
151,106,277,1
152,106,528,1
153,106,188,1
154,106,255,1
155,106,1025,1
156,106,1023,1
157,106,77,1
158,106,814,1
159,106,129,1
160,106,89,1
161,106,91,1
162,106,618,1
163,106,1146,1
164,106,154,1
165,106,216,1
166,106,638,1
167,107,895,1
168,107,75,1
169,107,463,1
170,107,1159,1
171,109,567,1
172,109,1076,1
173,109,963,1
174,109,1254,1
175,109,1047,1
176,111,1047,1
177,111,145,1
178,115,199,1
179,116,298,1
180,116,1287,1
181,116,128,1
182,126,931,1
183,128,1029,1
184,128,116,1
185,129,859,1
186,129,1356,1
187,129,400,1
188,129,1358,1
189,131,793,1
190,134,1243,1
191,141,38,1
192,141,230,1
193,141,1404,1
194,141,1047,1
195,141,1375,1
196,141,1217,1
197,141,803,1
198,141,1241,1
199,141,874,1
200,141,384,1
201,158,250,1
202,171,875,1
203,171,35,1
204,171,288,1
205,171,1063,1
206,171,1230,1
207,171,411,1
208,171,361,1
209,171,727,1
210,171,31,1
211,171,974,1
212,171,975,1
213,171,455,1
214,171,983,1
215,171,481,1
216,171,850,1
217,171,859,1
218,171,1167,1
219,171,165,1
220,171,1007,1
221,171,384,1
222,171,1295,1
223,171,627,1
224,171,1041,1
225,171,1134,1
226,171,1009,1
227,171,743,1
228,171,946,1
229,171,853,1
230,171,1197,1
231,171,183,1
232,171,225,1
233,171,212,1
234,171,1263,1
235,171,795,1
236,171,1045,1
237,171,713,1
238,171,1218,1
239,171,640,1
240,171,1079,1
241,171,1283,1
242,171,25,1
243,171,1168,1
244,171,159,1
245,171,447,1
246,171,296,1
247,171,526,1
248,171,1308,1
249,171,803,1
250,171,3,1
251,171,1243,1
252,171,1395,1
253,171,557,1
254,171,84,1
255,171,511,1
256,171,1242,1
257,171,1014,1
258,171,179,1
259,171,340,1
260,171,264,1
261,171,556,1
262,171,1369,1
263,171,507,1
264,171,785,1
265,171,632,1
266,171,1353,1
267,171,554,1
268,171,463,1
269,171,436,1
270,171,156,1
271,171,363,1
272,171,1151,1
273,171,1394,1
274,171,451,1
275,171,129,1
276,171,173,1
277,171,724,1
278,171,1169,1
279,171,587,1
280,171,238,1
281,171,102,1
282,171,1384,1
283,171,945,1
284,171,1222,1
285,171,332,1
286,171,977,1
287,171,75,1
288,171,325,1
289,173,747,1
290,179,171,1
291,179,97,1
292,179,394,1
293,180,94,1
294,180,1081,1
295,180,551,1
296,180,230,1
297,183,875,1
298,183,189,1
299,183,1321,1
300,183,1337,1
301,183,192,1
302,183,1231,1
303,183,278,1
304,183,21,1
305,183,1358,1
306,183,318,1
307,183,957,1
308,183,1302,1
309,183,486,1
310,183,277,1
311,183,179,1
312,183,149,1
313,183,974,1
314,183,700,1
315,188,745,1
316,194,301,1
317,194,1047,1
318,197,1358,1
319,199,115,1
320,199,1269,1
321,200,998,1
322,207,498,1
323,220,1218,1
324,220,1256,1
325,224,230,1
326,225,747,1
327,230,807,1
328,230,342,1
329,230,616,1
330,230,745,1
331,230,1066,1
332,230,1403,1
333,230,831,1
334,230,120,1
335,230,1291,1
336,230,1365,1
337,230,1319,1
338,230,50,1
339,230,286,1
340,230,1014,1
341,230,659,1
342,230,917,1
343,230,837,1
344,230,400,1
345,230,25,1
346,230,557,1
347,230,1371,1
348,230,1360,1
349,230,320,1
350,230,123,1
351,230,963,1
352,230,730,1
353,230,752,1
354,230,94,1
355,230,1353,1
356,230,718,1
357,230,587,1
358,230,109,1
359,230,1306,1
360,230,250,1
361,230,1187,1
362,230,180,1
363,230,530,1
364,230,602,1
365,230,1354,1
366,230,481,1
367,230,1047,1
368,230,89,1
369,230,380,1
370,240,402,1
371,240,725,1
372,247,344,1
373,250,252,1
374,250,1064,1
375,250,230,1
376,250,1217,1
377,250,1239,1
378,250,1298,1
379,250,890,1
380,250,853,1
381,250,380,1
382,250,249,1
383,250,220,1
384,250,1122,1
385,250,844,1
386,250,1030,1
387,250,1365,1
388,250,958,1
389,250,386,1
390,250,149,1
391,250,594,1
392,250,964,1
393,250,680,1
394,250,158,1
395,250,286,1
396,250,798,1
397,267,758,1
398,273,366,1
399,275,1041,1
400,275,1385,1
401,275,109,1
402,275,145,1
403,275,153,1
404,275,441,1
405,275,237,1
406,275,1390,1
407,275,744,1
408,275,1353,1
409,275,543,1
410,275,944,1
411,275,1069,1
412,275,953,1
413,275,1118,1
414,275,1064,1
415,275,749,1
416,276,6,1
417,278,700,1
418,278,980,1
419,278,183,1
420,278,1079,1
421,278,595,1
422,280,890,1
423,280,984,1
424,280,686,1
425,280,1353,1
426,286,130,1
427,286,20,1
428,286,1319,1
429,286,1111,1
430,286,301,1
431,286,1079,1
432,286,1242,1
433,286,944,1
434,286,673,1
435,286,1082,1
436,286,1398,1
437,286,8,1
438,286,1217,1
439,286,578,1
440,286,36,1
441,286,1025,1
442,286,1328,1
443,286,845,1
444,286,526,1
445,286,103,1
446,286,771,1
447,286,971,1
448,286,745,1
449,286,511,1
450,286,171,1
451,286,556,1
452,286,436,1
453,286,569,1
454,286,1326,1
455,286,109,1
456,286,1215,1
457,286,608,1
458,286,1122,1
459,286,41,1
460,286,75,1
461,286,850,1
462,286,487,1
463,286,1014,1
464,286,617,1
465,286,153,1
466,286,688,1
467,286,922,1
468,286,881,1
469,286,631,1
470,286,444,1
471,286,785,1
472,286,1047,1
473,301,964,1
474,301,741,1
475,301,120,1
476,301,1375,1
477,301,94,1
478,301,194,1
479,301,383,1
480,301,596,1
481,306,230,1
482,310,104,1
483,310,1357,1
484,310,1089,1
485,310,946,1
486,310,1014,1
487,310,1354,1
488,310,923,1
489,310,980,1
490,310,1299,1
491,310,1042,1
492,310,1132,1
493,310,225,1
494,310,609,1
495,310,466,1
496,310,687,1
497,310,283,1
498,310,654,1
499,310,120,1
500,310,232,1
501,310,785,1
502,310,1271,1
503,310,1123,1
504,310,250,1
505,311,260,1
506,320,250,1
507,320,116,1
508,320,230,1
509,320,931,1
510,324,45,1
511,324,120,1
512,328,1166,1
513,340,825,1
514,340,288,1
515,340,1025,1
516,340,502,1
517,340,745,1
518,340,1373,1
519,340,18,1
520,340,387,1
521,340,1282,1
522,340,1369,1
523,340,1406,1
524,340,592,1
525,340,1380,1
526,340,1207,1
527,340,307,1
528,340,69,1
529,340,1394,1
530,340,319,1
531,340,229,1
