,TF,Target,Label
0,2,747,1
1,9,747,1
2,9,1235,1
3,9,1148,1
4,9,1016,1
5,15,38,1
6,15,747,1
7,15,866,1
8,15,47,1
9,26,1106,1
10,31,1089,1
11,31,723,1
12,36,770,1
13,36,927,1
14,36,478,1
15,43,691,1
16,43,1014,1
17,43,341,1
18,43,493,1
19,43,1016,1
20,43,205,1
21,44,341,1
22,47,672,1
23,47,15,1
24,48,1165,1
25,48,904,1
26,48,1109,1
27,48,405,1
28,48,614,1
29,48,268,1
30,48,308,1
31,48,69,1
32,48,1138,1
33,48,819,1
34,48,1007,1
35,48,747,1
36,48,798,1
37,48,645,1
38,48,1260,1
39,48,1132,1
40,48,1323,1
41,48,1042,1
42,48,599,1
43,48,477,1
44,48,158,1
45,48,672,1
46,48,1295,1
47,48,1410,1
48,52,375,1
49,52,838,1
50,52,826,1
51,53,494,1
52,53,1005,1
53,57,341,1
54,57,740,1
55,57,375,1
56,57,101,1
57,57,1228,1
58,57,863,1
59,57,255,1
60,57,887,1
61,57,1014,1
62,57,351,1
63,60,181,1
64,60,1411,1
65,60,1138,1
66,60,1288,1
67,60,1228,1
68,61,1058,1
69,61,1210,1
70,61,718,1
71,61,162,1
72,61,134,1
73,61,1062,1
74,61,491,1
75,61,1207,1
76,61,1181,1
77,61,954,1
78,61,815,1
79,61,92,1
80,61,308,1
81,61,442,1
82,61,444,1
83,61,1078,1
84,61,627,1
85,61,97,1
86,61,552,1
87,61,1402,1
88,61,390,1
89,61,1340,1
90,61,1228,1
91,61,1215,1
92,61,550,1
93,61,801,1
94,61,392,1
95,61,1240,1
96,65,1148,1
97,65,495,1
98,75,747,1
99,75,903,1
100,75,179,1
101,75,74,1
102,80,592,1
103,80,427,1
104,80,610,1
105,80,711,1
106,80,585,1
107,80,55,1
108,80,985,1
109,80,1202,1
110,80,1145,1
111,80,880,1
112,80,48,1
113,80,1371,1
114,80,838,1
115,80,386,1
116,80,1260,1
117,81,940,1
118,81,740,1
119,81,294,1
120,81,1218,1
121,86,826,1
122,86,242,1
123,88,57,1
124,88,383,1
125,88,983,1
126,89,1184,1
127,89,1148,1
128,93,1005,1
129,97,1352,1
130,97,129,1
131,97,1124,1
132,97,516,1
133,97,1402,1
134,98,1288,1
135,101,57,1
136,110,11,1
137,110,1016,1
138,110,341,1
139,110,877,1
140,110,99,1
141,110,819,1
142,110,731,1
143,110,424,1
144,110,964,1
145,110,1004,1
146,110,27,1
147,110,1347,1
148,110,1191,1
149,110,1340,1
150,110,930,1
151,110,1066,1
152,110,247,1
153,110,351,1
154,110,495,1
155,110,1247,1
156,110,733,1
157,110,1213,1
158,110,285,1
159,110,890,1
160,110,72,1
161,110,902,1
162,112,838,1
163,112,1235,1
164,113,976,1
165,113,1062,1
166,113,930,1
167,113,344,1
168,113,1044,1
169,121,610,1
170,125,1221,1
171,125,1262,1
172,125,123,1
173,125,963,1
174,125,732,1
175,125,398,1
176,125,724,1
177,129,708,1
178,129,617,1
179,132,255,1
180,132,844,1
181,140,60,1
182,140,831,1
183,140,167,1
184,140,124,1
185,140,1122,1
186,140,992,1
187,140,792,1
188,140,174,1
189,140,283,1
190,140,1185,1
191,140,625,1
192,140,678,1
193,140,195,1
194,140,142,1
195,140,125,1
196,140,358,1
197,140,1007,1
198,140,78,1
199,140,537,1
200,140,826,1
201,140,838,1
202,140,599,1
203,140,1194,1
204,140,1175,1
205,140,197,1
206,140,53,1
207,140,1053,1
208,140,724,1
209,140,214,1
210,140,307,1
211,140,626,1
212,140,1365,1
213,140,2,1
214,140,88,1
215,140,1215,1
216,140,1250,1
217,140,1270,1
218,140,181,1
219,140,237,1
220,140,262,1
221,140,41,1
222,140,323,1
223,140,693,1
224,140,1016,1
225,140,1207,1
226,147,550,1
227,149,747,1
228,150,1114,1
229,158,235,1
230,158,1191,1
231,158,610,1
232,158,1261,1
233,174,732,1
234,174,747,1
235,176,427,1
236,180,4,1
237,187,599,1
238,194,1148,1
239,194,383,1
240,194,1288,1
241,194,444,1
242,197,283,1
243,200,763,1
244,200,510,1
245,202,940,1
246,202,1266,1
247,204,181,1
248,204,351,1
249,204,1148,1
250,204,205,1
251,205,1391,1
252,205,364,1
253,205,417,1
254,205,696,1
255,205,324,1
256,205,11,1
257,205,387,1
258,205,383,1
259,205,795,1
260,205,1017,1
261,205,1215,1
262,205,160,1
263,205,996,1
264,205,856,1
265,205,1142,1
266,205,1228,1
267,205,754,1
268,205,1170,1
269,205,575,1
270,205,209,1
271,205,490,1
272,205,1218,1
273,205,158,1
274,205,12,1
275,205,235,1
276,205,887,1
277,205,410,1
278,205,789,1
279,205,258,1
280,205,274,1
281,205,779,1
282,205,1350,1
283,205,1354,1
284,205,538,1
285,205,589,1
286,205,68,1
287,205,595,1
288,205,43,1
289,205,215,1
290,205,303,1
291,205,1260,1
292,205,210,1
293,205,583,1
294,205,304,1
295,205,133,1
296,205,467,1
297,205,1347,1
298,205,747,1
299,205,1224,1
300,205,801,1
301,205,725,1
302,205,249,1
303,205,1076,1
304,205,870,1
305,205,1151,1
306,205,344,1
307,205,348,1
308,205,998,1
309,205,341,1
310,205,1001,1
311,205,1127,1
312,205,580,1
313,205,1062,1
314,205,159,1
315,205,1082,1
316,205,1286,1
317,205,649,1
318,205,1124,1
319,205,1271,1
320,205,1143,1
321,205,500,1
322,205,855,1
323,205,477,1
324,205,540,1
325,205,1114,1
326,205,1051,1
327,205,552,1
328,205,70,1
329,205,1358,1
330,205,359,1
331,205,115,1
332,205,1016,1
333,205,840,1
334,209,1127,1
335,212,1365,1
