,TF,Target,Label
0,0,706,1
1,0,1219,1
2,2,822,1
3,2,298,1
4,4,1032,1
5,4,1290,1
6,4,372,1
7,4,1069,1
8,5,1175,1
9,23,563,1
10,31,210,1
11,31,829,1
12,31,925,1
13,31,818,1
14,31,909,1
15,31,170,1
16,31,440,1
17,31,521,1
18,31,455,1
19,31,359,1
20,31,81,1
21,31,921,1
22,31,1168,1
23,31,1058,1
24,31,365,1
25,31,1277,1
26,31,434,1
27,31,936,1
28,31,502,1
29,31,726,1
30,31,813,1
31,34,1290,1
32,34,372,1
33,34,588,1
34,34,4,1
35,34,1038,1
36,39,348,1
37,44,108,1
38,44,541,1
39,47,265,1
40,52,1053,1
41,57,798,1
42,57,893,1
43,57,1242,1
44,60,915,1
45,68,871,1
46,81,719,1
47,81,791,1
48,81,359,1
49,81,65,1
50,81,921,1
51,81,1184,1
52,81,351,1
53,81,926,1
54,81,200,1
55,81,1225,1
56,81,1178,1
57,81,362,1
58,81,1112,1
59,81,716,1
60,81,646,1
61,81,929,1
62,81,450,1
63,81,813,1
64,81,497,1
65,81,1108,1
66,81,440,1
67,81,905,1
68,81,853,1
69,81,641,1
70,81,422,1
71,81,367,1
72,81,1080,1
73,81,925,1
74,81,685,1
75,81,1303,1
76,81,563,1
77,81,622,1
78,82,150,1
79,82,505,1
80,82,1019,1
81,82,902,1
82,82,538,1
83,82,292,1
84,82,612,1
85,82,324,1
86,82,477,1
87,82,766,1
88,88,780,1
89,88,0,1
90,88,706,1
91,90,543,1
92,98,859,1
93,98,719,1
94,98,1208,1
95,98,293,1
96,98,682,1
97,98,1250,1
98,98,420,1
99,98,749,1
100,98,229,1
101,98,767,1
102,98,906,1
103,98,144,1
104,98,375,1
105,98,922,1
106,98,6,1
107,98,186,1
108,98,661,1
109,104,390,1
110,105,849,1
111,105,755,1
112,105,1237,1
113,105,324,1
114,105,538,1
115,105,881,1
116,105,467,1
117,105,944,1
118,105,902,1
119,105,548,1
120,105,477,1
121,106,434,1
122,106,925,1
123,106,1242,1
124,106,662,1
125,106,905,1
126,106,275,1
127,106,857,1
128,106,182,1
129,106,628,1
130,108,1023,1
131,116,1287,1
132,116,108,1
133,116,1038,1
134,116,367,1
135,118,434,1
136,118,1242,1
137,137,849,1
138,137,288,1
139,144,18,1
140,144,6,1
141,144,952,1
142,144,16,1
143,144,804,1
144,144,716,1
145,144,440,1
146,144,929,1
147,146,464,1
148,146,942,1
149,146,106,1
150,146,444,1
151,150,324,1
152,150,881,1
153,150,941,1
154,150,1237,1
155,150,766,1
156,150,590,1
157,150,755,1
158,150,1182,1
159,150,548,1
160,150,271,1
161,150,505,1
162,150,292,1
163,150,1085,1
164,150,849,1
165,150,959,1
166,150,902,1
167,160,687,1
168,161,1115,1
169,161,1122,1
170,161,469,1
171,161,228,1
172,161,862,1
173,161,316,1
174,161,1257,1
175,161,110,1
176,161,547,1
177,161,814,1
178,161,502,1
179,161,367,1
180,161,323,1
181,161,739,1
182,161,330,1
183,161,300,1
184,161,412,1
185,161,711,1
186,161,1170,1
187,161,276,1
188,161,1113,1
189,161,362,1
190,161,697,1
191,170,957,1
192,170,704,1
193,170,353,1
194,170,638,1
195,170,573,1
196,173,915,1
197,173,34,1
198,173,631,1
199,173,688,1
200,179,623,1
201,182,641,1
202,182,9,1
203,182,587,1
204,182,1035,1
205,182,275,1
206,182,1038,1
207,182,841,1
208,182,312,1
209,182,390,1
210,182,508,1
211,186,573,1
212,186,743,1
213,186,34,1
214,196,508,1
215,206,685,1
216,210,354,1
217,210,497,1
218,210,748,1
219,210,312,1
220,210,434,1
221,210,285,1
222,210,226,1
223,210,1050,1
224,210,1115,1
225,210,610,1
226,210,1281,1
227,210,268,1
228,210,137,1
229,210,440,1
230,210,129,1
231,210,1276,1
232,210,925,1
233,210,214,1
234,210,794,1
235,210,876,1
236,210,798,1
237,210,442,1
238,210,459,1
239,210,1123,1
240,210,845,1
241,210,382,1
242,210,1098,1
243,210,1052,1
244,210,953,1
245,210,1159,1
246,210,641,1
247,210,1235,1
248,210,1054,1
249,210,563,1
250,210,353,1
251,210,706,1
252,210,1192,1
253,210,600,1
254,210,47,1
255,210,768,1
256,219,925,1
257,219,957,1
258,226,375,1
259,226,1250,1
260,226,1312,1
261,226,98,1
262,226,1293,1
263,226,1041,1
264,226,925,1
265,226,282,1
266,226,312,1
267,226,6,1
268,226,1276,1
269,226,661,1
270,226,144,1
271,226,440,1
272,226,682,1
273,226,952,1
274,226,1296,1
275,226,1112,1
276,226,16,1
277,226,859,1
278,226,210,1
279,226,767,1
280,226,1208,1
281,237,914,1
282,239,687,1
283,239,1168,1
284,239,1114,1
285,239,591,1
286,239,1023,1
287,239,403,1
288,239,310,1
289,250,780,1
290,254,687,1
291,254,1023,1
292,254,1168,1
293,254,310,1
294,258,1037,1
295,258,204,1
296,258,1045,1
297,258,578,1
298,258,39,1
299,258,989,1
300,258,725,1
301,258,1199,1
302,258,797,1
303,258,1054,1
304,258,307,1
305,258,1105,1
306,258,865,1
307,258,693,1
308,258,1287,1
309,258,1203,1
310,258,532,1
311,258,783,1
312,258,703,1
313,258,1258,1
314,258,533,1
315,258,538,1
316,258,1242,1
317,258,1194,1
318,258,148,1
319,261,1110,1
320,265,1080,1
321,265,991,1
322,265,761,1
323,265,634,1
324,275,925,1
325,275,182,1
326,275,841,1
327,275,655,1
328,275,432,1
329,275,106,1
330,275,628,1
331,288,312,1
332,288,590,1
333,288,261,1
334,288,477,1
335,288,969,1
336,288,849,1
337,288,1135,1
338,288,641,1
339,288,879,1
340,291,1038,1
341,292,902,1
342,292,941,1
343,292,1019,1
344,292,505,1
345,292,74,1
346,292,766,1
347,292,538,1
348,292,849,1
349,292,324,1
350,292,1238,1
351,301,716,1
352,301,1037,1
353,301,597,1
354,301,558,1
355,308,946,1
356,308,641,1
357,308,365,1
358,308,921,1
359,310,41,1
360,310,957,1
361,310,633,1
362,310,403,1
363,310,1293,1
364,310,1114,1
365,310,1023,1
366,312,1110,1
367,312,915,1
368,312,1305,1
369,312,288,1
370,317,1310,1
371,317,109,1
372,317,367,1
373,322,950,1
374,322,881,1
375,322,1237,1
376,322,505,1
377,322,849,1
378,322,467,1
379,322,907,1
380,322,879,1
381,322,324,1
382,322,1066,1
383,322,755,1
384,322,590,1
385,324,538,1
386,324,150,1
387,324,1053,1
388,324,590,1
389,324,1110,1
390,324,1237,1
391,324,548,1
392,324,766,1
393,324,858,1
394,324,105,1
395,324,1182,1
396,324,879,1
397,324,755,1
398,324,944,1
399,324,322,1
400,324,477,1
401,324,418,1
402,324,959,1
403,324,1135,1
404,324,941,1
405,330,1139,1
406,333,627,1
407,336,115,1
408,341,1292,1
409,341,709,1
410,341,1254,1
411,341,311,1
412,341,789,1
413,341,386,1
414,341,729,1
415,341,954,1
416,341,234,1
417,341,238,1
418,341,875,1
419,341,647,1
420,341,76,1
421,353,1038,1
422,357,508,1
423,357,722,1
424,357,1266,1
425,357,182,1
426,365,1085,1
427,365,505,1
428,365,477,1
429,365,308,1
430,365,31,1
431,365,538,1
432,365,902,1
433,365,879,1
434,367,706,1
435,367,909,1
436,367,430,1
437,367,148,1
438,367,1032,1
439,367,1021,1
440,367,362,1
441,367,648,1
442,367,469,1
443,367,124,1
444,367,543,1
445,367,1045,1
446,367,210,1
447,367,489,1
448,367,973,1
449,367,1225,1
450,367,41,1
451,367,1037,1
452,367,1061,1
453,367,204,1
454,367,1051,1
455,367,163,1
456,367,507,1
457,367,1293,1
458,367,746,1
459,367,293,1
460,367,1030,1
461,367,538,1
462,367,65,1
463,367,1242,1
464,367,16,1
465,367,743,1
466,367,597,1
467,367,116,1
468,367,515,1
469,367,490,1
470,367,562,1
471,367,865,1
472,367,1120,1
473,367,431,1
474,367,1204,1
475,367,536,1
476,367,1269,1
477,367,5,1
478,367,1064,1
479,377,905,1
480,377,628,1
481,377,841,1
482,377,275,1
483,381,780,1
484,385,502,1
485,390,508,1
486,390,219,1
487,390,106,1
488,390,857,1
489,399,662,1
490,423,1256,1
491,423,563,1
492,423,187,1
493,423,1165,1
494,423,1032,1
495,423,1291,1
496,423,469,1
497,430,915,1
498,434,667,1
499,434,1015,1
500,434,219,1
501,434,1258,1
502,434,563,1
503,434,1192,1
504,434,1214,1
505,434,794,1
506,434,574,1
507,434,915,1
508,434,628,1
509,434,721,1
510,434,857,1
511,434,1062,1
512,434,905,1
513,434,893,1
514,434,685,1
515,434,422,1
516,434,382,1
517,434,452,1
518,434,170,1
519,434,354,1
520,434,676,1
521,434,666,1
522,434,1165,1
523,434,795,1
524,434,1118,1
525,434,275,1
526,434,978,1
527,434,7,1
528,434,865,1
529,434,1234,1
530,434,1225,1
531,434,1302,1
532,434,201,1
533,434,192,1
534,434,1239,1
535,434,94,1
536,434,543,1
537,434,818,1
538,434,187,1
539,434,813,1
540,434,497,1
541,434,549,1
542,434,1032,1
543,434,829,1
544,434,9,1
545,434,925,1
546,434,637,1
547,434,108,1
548,434,282,1
549,434,93,1
550,440,610,1
551,440,1100,1
552,440,1192,1
553,440,578,1
554,440,1168,1
555,440,510,1
556,440,1032,1
557,440,876,1
558,440,799,1
559,440,18,1
560,440,706,1
561,440,543,1
562,440,31,1
563,440,1115,1
564,440,619,1
565,440,629,1
566,440,1308,1
567,440,622,1
568,440,187,1
569,440,367,1
570,440,214,1
571,440,350,1
572,440,1256,1
573,440,442,1
574,440,226,1
575,440,266,1
576,440,1172,1
577,440,34,1
578,440,521,1
579,440,262,1
580,440,312,1
581,440,286,1
582,440,929,1
583,440,627,1
584,440,229,1
585,440,1091,1
586,440,268,1
587,440,434,1
588,440,219,1
589,440,1242,1
590,440,1003,1
591,440,956,1
592,440,496,1
593,440,210,1
594,443,9,1
595,443,477,1
596,443,538,1
597,443,505,1
598,444,146,1
599,444,1287,1
600,452,1037,1
601,452,1219,1
602,464,654,1
603,464,1153,1
604,464,988,1
605,464,1221,1
606,464,1300,1
607,464,873,1
608,464,162,1
609,464,114,1
610,464,291,1
611,464,1053,1
612,464,202,1
613,464,156,1
614,464,91,1
615,464,377,1
616,464,1192,1
617,464,1106,1
618,464,1205,1
619,464,1292,1
620,464,73,1
621,464,1008,1
622,464,872,1
623,464,660,1
624,464,473,1
625,464,503,1
626,464,61,1
627,464,1219,1
628,464,1236,1
629,464,355,1
630,464,17,1
631,464,995,1
632,464,1230,1
633,464,311,1
634,464,1003,1
635,464,538,1
636,464,1177,1
637,464,23,1
638,464,1285,1
639,464,649,1
640,464,444,1
641,464,376,1
642,464,769,1
643,464,1022,1
644,464,500,1
645,464,834,1
646,464,436,1
647,464,247,1
648,464,422,1
649,464,788,1
650,464,261,1
651,464,1266,1
652,464,1062,1
653,464,115,1
654,464,138,1
655,464,807,1
656,464,233,1
657,464,1047,1
658,464,1045,1
659,464,1119,1
660,464,936,1
661,464,410,1
662,464,726,1
663,464,50,1
664,464,608,1
665,464,228,1
666,464,199,1
667,464,391,1
668,464,668,1
669,464,187,1
670,464,143,1
671,464,81,1
672,464,423,1
673,464,539,1
674,464,1307,1
675,464,532,1
676,464,111,1
677,464,1232,1
678,464,1283,1
679,464,582,1
680,464,1246,1
681,464,201,1
682,464,1061,1
683,464,890,1
684,464,1279,1
685,464,456,1
686,464,317,1
687,464,1004,1
688,464,256,1
689,464,354,1
690,464,431,1
691,464,691,1
692,464,666,1
693,464,292,1
694,464,1089,1
695,464,667,1
696,464,1247,1
697,464,479,1
698,464,1172,1
699,464,1186,1
700,464,963,1
701,464,188,1
702,464,504,1
703,464,1055,1
704,464,1116,1
705,464,816,1
706,464,897,1
707,464,452,1
708,464,1284,1
709,464,1072,1
710,464,218,1
711,464,321,1
712,464,1198,1
713,464,69,1
714,464,1130,1
715,464,1320,1
716,464,245,1
717,464,128,1
718,464,584,1
719,464,1306,1
720,464,1170,1
721,464,592,1
722,464,123,1
723,464,329,1
724,464,15,1
725,464,760,1
726,464,573,1
727,464,196,1
728,464,986,1
729,464,58,1
730,464,386,1
731,464,0,1
732,464,927,1
733,464,674,1
734,464,239,1
735,464,155,1
736,464,428,1
737,464,657,1
738,464,513,1
739,464,130,1
740,464,221,1
741,464,743,1
742,464,219,1
743,464,1314,1
744,464,1237,1
745,464,1318,1
746,464,1066,1
747,464,92,1
748,464,641,1
749,464,295,1
750,464,1094,1
751,464,470,1
752,464,892,1
753,464,211,1
754,464,438,1
755,464,67,1
756,464,478,1
757,464,541,1
758,464,683,1
759,464,929,1
760,464,955,1
761,464,385,1
762,464,855,1
763,464,394,1
764,464,109,1
765,464,363,1
766,464,305,1
767,464,922,1
768,464,107,1
769,464,612,1
770,469,1023,1
771,469,182,1
772,473,176,1
773,475,19,1
774,475,641,1
775,475,1245,1
776,477,875,1
777,477,944,1
778,477,1135,1
779,477,288,1
780,477,150,1
781,477,941,1
782,477,1237,1
783,477,82,1
784,477,902,1
785,477,879,1
786,477,1019,1
787,477,1085,1
788,477,197,1
789,477,143,1
790,477,1066,1
791,477,755,1
792,477,590,1
793,477,538,1
794,477,849,1
795,477,530,1
796,477,766,1
797,477,773,1
798,477,77,1
799,497,9,1
800,497,853,1
801,497,301,1
802,497,119,1
803,497,1293,1
804,497,929,1
805,497,702,1
806,497,214,1
807,497,1108,1
808,497,362,1
809,497,926,1
810,497,1246,1
811,497,31,1
812,497,330,1
813,497,680,1
814,497,716,1
815,497,86,1
816,497,1247,1
817,497,541,1
818,497,354,1
819,497,138,1
820,497,23,1
821,497,791,1
822,497,763,1
823,497,1080,1
824,497,622,1
825,497,367,1
826,497,1052,1
827,497,179,1
828,497,612,1
829,497,921,1
830,497,563,1
831,497,558,1
832,497,1112,1
833,497,869,1
834,497,65,1
835,497,81,1
836,502,836,1
837,502,563,1
838,502,925,1
839,502,1032,1
840,502,726,1
841,502,1015,1
842,502,1242,1
843,502,108,1
844,504,957,1
845,504,372,1
846,504,1168,1
847,505,1320,1
848,505,150,1
849,505,1135,1
850,505,271,1
851,505,365,1
852,505,1238,1
853,505,959,1
854,505,105,1
855,505,467,1
856,505,1066,1
857,505,1182,1
858,505,82,1
859,505,324,1
860,505,443,1
861,505,879,1
862,505,548,1
863,505,1053,1
864,505,944,1
865,512,950,1
866,513,685,1
867,521,648,1
868,521,573,1
869,521,538,1
870,521,204,1
871,521,743,1
872,521,592,1
873,521,747,1
874,521,562,1
875,521,865,1
876,521,497,1
877,521,1242,1
878,521,797,1
879,521,293,1
880,521,367,1
881,521,1030,1
882,521,927,1
883,521,81,1
884,521,1256,1
885,521,258,1
886,521,353,1
887,521,1015,1
888,521,1174,1
889,521,1037,1
890,521,431,1
891,535,1115,1
892,535,1280,1
893,537,759,1
894,538,271,1
895,538,590,1
896,538,82,1
897,538,1140,1
898,538,467,1
899,538,1182,1
900,538,322,1
