,TF,Target,Label
0,2,781,1
1,2,557,1
2,2,828,1
3,2,1080,1
4,2,355,1
5,2,245,1
6,2,1092,1
7,5,408,1
8,5,698,1
9,5,631,1
10,5,289,1
11,5,548,1
12,5,1038,1
13,5,82,1
14,5,357,1
15,5,112,1
16,5,378,1
17,5,749,1
18,5,439,1
19,5,292,1
20,6,483,1
21,7,426,1
22,7,410,1
23,7,88,1
24,8,483,1
25,9,450,1
26,9,732,1
27,12,785,1
28,12,93,1
29,12,585,1
30,12,1092,1
31,12,1108,1
32,12,717,1
33,12,416,1
34,12,463,1
35,12,262,1
36,12,567,1
37,12,848,1
38,12,754,1
39,12,528,1
40,12,526,1
41,12,711,1
42,12,1048,1
43,12,780,1
44,12,1112,1
45,13,110,1
46,13,661,1
47,13,781,1
48,13,1092,1
49,15,653,1
50,15,1106,1
51,15,1041,1
52,15,909,1
53,16,88,1
54,16,1075,1
55,19,172,1
56,19,794,1
57,19,1071,1
58,19,1103,1
59,19,1092,1
60,19,297,1
61,19,691,1
62,19,173,1
63,19,95,1
64,19,650,1
65,20,450,1
66,20,995,1
67,20,939,1
68,20,441,1
69,20,461,1
70,21,605,1
71,21,141,1
72,21,426,1
73,22,191,1
74,24,201,1
75,25,630,1
76,25,279,1
77,25,275,1
78,25,432,1
79,25,1031,1
80,25,100,1
81,28,679,1
82,28,297,1
83,28,389,1
84,28,1050,1
85,28,465,1
86,28,703,1
87,28,541,1
88,28,35,1
89,31,865,1
90,31,628,1
91,31,634,1
92,31,959,1
93,35,926,1
94,35,1114,1
95,37,416,1
96,37,753,1
97,40,1028,1
98,40,695,1
99,40,781,1
100,40,1069,1
101,40,91,1
102,40,510,1
103,40,19,1
104,40,872,1
105,48,1050,1
106,48,463,1
107,48,309,1
108,48,91,1
109,49,560,1
110,49,841,1
111,49,243,1
112,50,249,1
113,50,410,1
114,50,1115,1
115,50,623,1
116,50,1109,1
117,58,781,1
118,58,601,1
119,58,846,1
120,58,348,1
121,59,858,1
122,59,889,1
123,59,546,1
124,59,975,1
125,59,1115,1
126,59,74,1
127,59,847,1
128,59,417,1
129,59,653,1
130,59,415,1
131,59,1034,1
132,59,88,1
133,59,1038,1
134,59,1085,1
135,59,228,1
136,59,806,1
137,59,602,1
138,59,990,1
139,59,1107,1
140,59,504,1
141,59,610,1
142,59,463,1
143,59,144,1
144,59,625,1
145,59,673,1
146,59,243,1
147,59,83,1
148,59,643,1
149,59,703,1
150,59,420,1
151,59,998,1
152,59,741,1
153,59,1024,1
154,59,277,1
155,59,1080,1
156,59,824,1
157,59,431,1
158,59,955,1
159,59,1113,1
160,59,1036,1
161,59,90,1
162,59,1092,1
163,61,706,1
164,61,448,1
165,61,423,1
166,61,753,1
167,61,112,1
168,70,445,1
169,70,627,1
