,TF,Target,Label
0,2,641,1
1,7,330,1
2,7,648,1
3,7,325,1
4,7,665,1
5,7,1138,1
6,7,483,1
7,7,552,1
8,7,605,1
9,7,871,1
10,7,744,1
11,7,628,1
12,7,1131,1
13,7,762,1
14,7,795,1
15,7,793,1
16,7,678,1
17,7,936,1
18,7,350,1
19,7,1106,1
20,7,1165,1
21,7,683,1
22,7,1147,1
23,7,398,1
24,7,364,1
25,7,48,1
26,7,171,1
27,7,625,1
28,7,474,1
29,7,22,1
30,7,498,1
31,7,473,1
32,7,4,1
33,18,490,1
34,18,483,1
35,18,977,1
36,20,587,1
37,20,484,1
38,20,901,1
39,20,1147,1
40,20,763,1
41,22,256,1
42,22,7,1
43,22,330,1
44,22,628,1
45,22,1147,1
46,22,474,1
47,22,354,1
48,22,798,1
49,22,366,1
50,22,607,1
51,22,936,1
52,22,48,1
53,22,725,1
54,22,834,1
55,22,373,1
56,22,498,1
57,22,483,1
58,22,9,1
59,22,4,1
60,22,1142,1
61,22,405,1
62,22,325,1
63,22,552,1
64,22,683,1
65,22,398,1
66,22,605,1
67,22,795,1
68,22,548,1
69,22,473,1
70,22,350,1
71,40,803,1
72,40,993,1
73,40,164,1
74,40,847,1
75,40,78,1
76,40,858,1
77,52,484,1
78,62,743,1
79,62,1021,1
80,62,950,1
81,62,55,1
82,68,923,1
83,68,1023,1
84,68,1148,1
85,68,929,1
86,68,654,1
87,68,730,1
88,68,586,1
89,68,904,1
90,68,181,1
91,68,37,1
92,68,901,1
93,68,755,1
94,68,857,1
95,68,1077,1
96,68,1091,1
97,68,76,1
98,68,849,1
99,68,588,1
100,68,1164,1
101,68,130,1
102,68,251,1
103,68,828,1
104,68,454,1
105,68,576,1
106,68,491,1
107,68,507,1
108,68,543,1
109,68,790,1
110,68,803,1
111,68,162,1
112,68,482,1
113,68,133,1
114,69,438,1
115,76,40,1
116,76,1041,1
117,76,1156,1
118,76,721,1
119,76,290,1
120,76,1177,1
121,76,220,1
122,76,61,1
123,76,779,1
124,76,847,1
125,76,1046,1
126,76,596,1
127,76,135,1
128,76,166,1
129,76,104,1
130,78,44,1
131,78,819,1
132,78,439,1
133,78,1096,1
134,78,667,1
135,78,261,1
136,78,1052,1
137,78,1025,1
138,78,927,1
139,78,721,1
140,78,56,1
141,78,866,1
142,78,775,1
143,78,40,1
144,99,901,1
145,99,714,1
146,100,1125,1
147,100,714,1
148,100,637,1
149,100,517,1
150,112,1027,1
151,112,666,1
152,130,677,1
153,130,483,1
154,150,877,1
