,TF,Target,Label
0,3,404,1
1,3,210,1
2,6,631,1
3,27,485,1
4,27,293,1
5,27,536,1
6,27,232,1
7,28,480,1
8,28,351,1
9,28,206,1
10,28,497,1
11,29,261,1
12,29,67,1
13,29,301,1
14,29,413,1
15,29,283,1
16,29,475,1
17,34,292,1
18,42,561,1
19,42,30,1
20,42,399,1
21,42,323,1
22,42,620,1
23,42,102,1
24,42,554,1
25,42,345,1
26,50,475,1
27,64,200,1
28,64,232,1
29,64,27,1
30,64,109,1
31,64,57,1
32,67,439,1
33,67,410,1
34,67,292,1
35,67,81,1
36,67,429,1
37,68,414,1
38,73,216,1
39,78,107,1
40,78,38,1
41,78,606,1
42,78,192,1
43,78,358,1
44,78,434,1
45,78,167,1
46,78,560,1
47,78,67,1
48,78,572,1
49,78,187,1
50,78,559,1
51,78,360,1
52,79,363,1
53,79,208,1
54,79,631,1
55,81,554,1
56,81,67,1
57,82,485,1
58,82,199,1
59,82,350,1
60,82,536,1
61,82,363,1
62,82,204,1
63,82,263,1
64,82,161,1
65,99,606,1
66,134,404,1
67,134,274,1
68,137,442,1
69,137,297,1
70,137,204,1
71,137,347,1
72,137,279,1
73,137,525,1
74,137,577,1
75,137,131,1
76,137,197,1
77,137,121,1
78,137,287,1
79,137,508,1
80,137,392,1
81,137,377,1
82,137,424,1
83,137,132,1
84,137,482,1
85,137,351,1
86,137,484,1
87,137,83,1
88,137,104,1
89,137,256,1
90,137,210,1
91,137,345,1
92,137,533,1
93,137,300,1
94,137,122,1
95,137,417,1
96,137,186,1
97,137,480,1
98,137,215,1
99,137,227,1
100,137,301,1
101,137,315,1
102,137,545,1
103,137,496,1
104,137,430,1
105,137,376,1
106,137,472,1
107,137,570,1
108,137,421,1
109,137,488,1
110,137,589,1
111,137,235,1
112,157,283,1
113,161,82,1
114,161,180,1
115,165,28,1
116,177,437,1
117,177,232,1
118,189,53,1
119,189,411,1
120,198,199,1
121,198,367,1
122,199,190,1
123,199,363,1
124,199,198,1
125,199,137,1
126,204,21,1
127,204,620,1
128,204,561,1
129,204,266,1
130,204,399,1
131,204,290,1
132,204,345,1
133,204,53,1
134,204,361,1
135,204,82,1
136,204,350,1
137,204,30,1
138,204,102,1
139,204,500,1
140,204,279,1
141,204,299,1
142,206,28,1
143,209,74,1
144,209,557,1
145,209,216,1
146,224,590,1
147,226,575,1
148,226,351,1
149,226,33,1
150,226,28,1
151,251,109,1
152,251,293,1
153,251,27,1
154,251,420,1
155,263,362,1
156,263,394,1
157,263,503,1
158,263,315,1
159,263,546,1
160,263,194,1
161,263,69,1
162,263,543,1
163,263,575,1
164,263,72,1
165,263,270,1
166,263,410,1
167,263,331,1
168,263,536,1
169,263,367,1
170,263,2,1
171,263,146,1
172,263,232,1
173,263,590,1
174,263,441,1
175,270,196,1
176,276,289,1
177,276,216,1
178,276,590,1
179,276,152,1
180,276,177,1
181,276,73,1
182,276,363,1
183,276,486,1
184,276,255,1
185,283,276,1
186,283,263,1
187,283,472,1
188,283,422,1
189,283,494,1
190,283,212,1
191,283,128,1
192,283,363,1
193,283,78,1
194,283,532,1
195,283,590,1
196,283,315,1
197,283,84,1
198,292,81,1
199,292,67,1
200,293,232,1
201,293,354,1
202,293,268,1
203,293,57,1
204,293,183,1
205,293,27,1
206,293,609,1
207,299,28,1
208,299,189,1
209,299,500,1
210,299,323,1
211,299,561,1
212,299,240,1
213,299,53,1
214,299,82,1
215,304,453,1
216,323,204,1
217,323,279,1
218,323,74,1
219,323,610,1
220,323,30,1
221,323,411,1
222,323,290,1
223,323,497,1
224,323,102,1
225,323,620,1
226,323,554,1
227,323,246,1
228,323,182,1
229,323,266,1
230,323,273,1
231,323,361,1
232,350,299,1
233,350,345,1
234,350,53,1
235,350,30,1
236,350,561,1
237,350,273,1
238,350,240,1
239,350,182,1
240,350,297,1
241,350,21,1
242,350,411,1
243,350,279,1
244,350,246,1
245,350,610,1
246,350,323,1
247,350,399,1
248,351,28,1
249,351,392,1
250,351,433,1
251,353,449,1
252,357,331,1
253,357,537,1
254,357,557,1
255,357,139,1
256,357,611,1
257,357,212,1
258,357,91,1
259,357,402,1
260,360,389,1
261,360,213,1
262,360,94,1
263,360,429,1
264,360,315,1
265,360,283,1
266,360,299,1
267,360,538,1
268,363,377,1
269,363,442,1
270,363,521,1
271,363,220,1
272,363,577,1
273,363,217,1
274,363,177,1
275,363,23,1
276,363,533,1
277,363,131,1
278,363,464,1
279,363,389,1
280,363,64,1
281,363,3,1
282,363,197,1
283,363,564,1
284,363,306,1
285,363,224,1
286,363,165,1
287,363,485,1
288,363,274,1
289,363,67,1
290,363,351,1
291,363,488,1
292,363,212,1
293,363,58,1
294,363,475,1
295,363,414,1
296,363,154,1
297,363,315,1
298,363,376,1
299,363,394,1
300,363,170,1
301,363,472,1
302,363,508,1
303,367,82,1
304,371,240,1
305,371,182,1
306,375,226,1
307,375,33,1
308,377,305,1
309,394,283,1
310,396,99,1
311,410,29,1
312,410,263,1
313,414,430,1
314,414,118,1
315,414,68,1
316,414,259,1
317,414,279,1
318,429,357,1
319,433,182,1
320,433,290,1
321,435,580,1
322,436,384,1
323,436,517,1
324,437,209,1
325,437,423,1
326,437,561,1
327,437,74,1
328,437,475,1
329,437,237,1
330,437,161,1
331,437,432,1
332,437,136,1
333,437,150,1
334,437,128,1
335,437,595,1
336,437,488,1
337,437,362,1
338,437,524,1
339,437,8,1
340,437,318,1
341,437,614,1
342,437,516,1
343,437,494,1
344,437,210,1
345,439,67,1
346,439,259,1
347,453,209,1
348,453,304,1
349,453,213,1
350,453,52,1
351,453,559,1
352,453,436,1
353,471,477,1
354,482,117,1
355,482,435,1
356,482,224,1
357,485,208,1
358,485,363,1
359,486,177,1
360,486,232,1
361,500,74,1
362,500,82,1
363,500,30,1
364,500,53,1
365,500,42,1
366,500,299,1
367,500,407,1
368,500,290,1
369,500,21,1
370,500,399,1
371,500,350,1
372,500,561,1
373,500,620,1
374,500,297,1
375,500,497,1
376,500,204,1
377,510,266,1
378,518,410,1
379,536,278,1
380,536,471,1
381,536,219,1
382,536,48,1
383,536,477,1
384,557,209,1
385,557,536,1
386,559,475,1
387,561,411,1
388,561,42,1
389,561,610,1
390,561,500,1
391,561,350,1
392,561,399,1
393,561,30,1
394,561,497,1
395,561,478,1
396,561,361,1
397,561,204,1
398,561,323,1
399,561,297,1
400,561,279,1
401,561,554,1
402,561,345,1
403,575,375,1
404,575,226,1
405,621,439,1
406,631,6,1
407,631,79,1
408,3,191,0
409,3,114,0
410,6,286,0
411,27,629,0
412,27,295,0
413,27,240,0
414,27,351,0
415,28,1,0
416,28,409,0
417,28,552,0
418,28,60,0
419,29,544,0
420,29,10,0
421,29,619,0
422,29,107,0
423,29,455,0
424,29,532,0
425,34,90,0
426,42,311,0
427,42,346,0
428,42,376,0
429,42,313,0
430,42,49,0
431,42,578,0
432,42,98,0
433,42,69,0
434,50,166,0
435,64,81,0
436,64,25,0
437,64,454,0
438,64,518,0
439,64,274,0
440,67,366,0
441,67,306,0
442,67,216,0
443,67,69,0
444,67,133,0
445,68,25,0
446,73,58,0
447,78,263,0
448,78,368,0
449,78,79,0
450,78,230,0
451,78,287,0
452,78,130,0
453,78,292,0
454,78,269,0
455,78,80,0
456,78,472,0
457,78,244,0
458,78,106,0
459,78,125,0
460,79,194,0
461,79,206,0
462,79,563,0
463,81,407,0
464,81,615,0
465,82,22,0
466,82,110,0
467,82,595,0
468,82,202,0
469,82,274,0
470,82,232,0
471,82,51,0
472,82,510,0
473,99,92,0
474,134,411,0
475,134,136,0
476,137,505,0
477,137,195,0
478,137,206,0
479,137,172,0
480,137,391,0
481,137,595,0
482,137,597,0
483,137,333,0
484,137,248,0
485,137,380,0
486,137,303,0
487,137,262,0
488,137,579,0
489,137,69,0
490,137,340,0
491,137,567,0
492,137,169,0
493,137,63,0
494,137,277,0
495,137,93,0
496,137,155,0
497,137,628,0
498,137,367,0
499,137,606,0
500,137,509,0
501,137,599,0
502,137,320,0
503,137,7,0
504,137,125,0
505,137,290,0
506,137,101,0
507,137,379,0
508,137,126,0
509,137,161,0
510,137,136,0
511,137,585,0
512,137,519,0
513,137,485,0
514,137,187,0
515,137,412,0
516,137,272,0
517,137,97,0
518,137,293,0
519,137,84,0
520,157,5,0
521,161,172,0
522,161,84,0
523,165,338,0
524,177,416,0
525,177,400,0
526,189,616,0
527,189,151,0
528,198,216,0
529,198,543,0
530,199,191,0
531,199,378,0
532,199,575,0
533,199,346,0
534,204,51,0
535,204,113,0
536,204,91,0
537,204,134,0
538,204,183,0
539,204,221,0
540,204,236,0
541,204,261,0
542,204,40,0
543,204,444,0
544,204,630,0
545,204,385,0
546,204,213,0
547,204,515,0
548,204,227,0
549,204,294,0
550,206,246,0
551,209,431,0
552,209,362,0
553,209,139,0
554,224,350,0
555,226,349,0
556,226,36,0
557,226,32,0
558,226,268,0
559,251,99,0
560,251,611,0
561,251,92,0
562,251,143,0
563,263,108,0
564,263,174,0
565,263,572,0
566,263,63,0
567,263,36,0
568,263,423,0
569,263,268,0
570,263,341,0
571,263,482,0
572,263,318,0
573,263,253,0
574,263,524,0
575,263,356,0
576,263,103,0
577,263,120,0
578,263,129,0
579,263,308,0
580,263,584,0
581,263,479,0
582,263,99,0
583,270,224,0
584,276,502,0
585,276,476,0
586,276,42,0
587,276,49,0
588,276,629,0
589,276,34,0
590,276,53,0
591,276,606,0
592,276,477,0
