,TF,Target,Label
0,31,566,1
1,31,452,1
2,31,516,1
3,31,520,1
4,31,244,1
5,31,489,1
6,51,116,1
7,58,171,1
8,58,316,1
9,58,542,1
10,58,200,1
11,58,431,1
12,58,299,1
13,58,517,1
14,58,190,1
15,58,272,1
16,58,353,1
17,58,402,1
18,58,168,1
19,58,382,1
20,74,307,1
21,74,36,1
22,74,17,1
23,74,144,1
24,74,641,1
25,74,518,1
26,74,243,1
27,91,472,1
28,116,534,1
29,116,327,1
30,116,633,1
31,116,658,1
32,116,299,1
33,116,3,1
34,116,369,1
35,116,690,1
36,116,22,1
37,116,238,1
38,123,414,1
39,123,407,1
40,171,382,1
41,194,63,1
42,194,577,1
43,194,604,1
44,194,58,1
45,194,507,1
46,194,64,1
47,222,400,1
48,236,171,1
49,236,243,1
50,238,540,1
51,238,171,1
52,243,482,1
53,243,236,1
54,244,489,1
55,244,445,1
56,244,629,1
57,244,566,1
58,244,485,1
59,244,31,1
60,245,645,1
61,245,128,1
62,245,296,1
63,245,459,1
64,245,168,1
65,345,171,1
66,382,403,1
67,382,287,1
68,382,604,1
69,382,616,1
70,382,238,1
71,409,272,1
72,409,436,1
73,409,57,1
74,409,602,1
75,409,171,1
76,409,131,1
77,409,428,1
78,409,621,1
79,409,222,1
80,409,569,1
81,409,291,1
82,409,643,1
83,409,223,1
84,409,114,1
85,431,58,1
86,442,73,1
87,442,542,1
88,442,540,1
89,516,244,1
90,516,445,1
91,516,566,1
92,516,489,1
93,516,31,1
94,517,654,1
95,518,280,1
96,518,286,1
97,524,9,1
98,524,245,1
99,540,434,1
100,540,507,1
101,540,442,1
102,540,296,1
103,540,472,1
104,541,127,1
105,583,171,1
106,594,679,1
107,594,132,1
108,604,185,1
109,604,296,1
110,604,400,1
111,604,401,1
112,604,365,1
113,604,238,1
114,604,268,1
115,604,13,1
116,604,217,1
117,604,378,1
118,604,393,1
119,604,470,1
120,604,247,1
121,604,38,1
122,604,416,1
123,604,4,1
124,604,544,1
125,604,204,1
126,604,348,1
127,604,436,1
128,604,65,1
129,604,504,1
130,604,102,1
131,604,95,1
132,606,400,1
133,639,542,1
134,639,49,1
135,653,243,1
136,653,238,1
137,654,645,1
138,654,524,1
139,654,168,1
140,654,493,1
141,654,150,1
142,654,138,1
143,654,245,1
144,654,374,1
145,671,504,1
146,671,529,1
147,671,38,1
148,671,232,1
149,671,462,1
150,671,199,1
151,671,70,1
152,671,596,1
153,671,3,1
154,671,486,1
155,671,665,1
156,671,217,1
157,671,513,1
158,671,268,1
159,671,544,1
160,671,403,1
161,671,532,1
162,671,365,1
163,671,685,1
164,671,481,1
165,671,185,1
166,671,422,1
167,671,183,1
168,671,432,1
169,671,623,1
170,686,149,1
171,31,297,0
172,31,371,0
173,31,582,0
174,31,484,0
175,31,680,0
176,31,3,0
177,51,506,0
178,58,669,0
179,58,216,0
180,58,503,0
181,58,420,0
182,58,447,0
183,58,305,0
184,58,189,0
185,58,619,0
186,58,114,0
187,58,251,0
188,58,323,0
189,58,286,0
190,58,346,0
191,74,196,0
192,74,4,0
193,74,291,0
194,74,70,0
195,74,488,0
196,74,181,0
197,74,293,0
198,91,503,0
199,116,366,0
200,116,598,0
201,116,282,0
202,116,36,0
203,116,138,0
204,116,121,0
205,116,324,0
206,116,90,0
207,116,219,0
208,116,71,0
209,123,175,0
210,123,253,0
211,171,118,0
212,194,332,0
213,194,620,0
214,194,265,0
215,194,431,0
216,194,1,0
217,194,407,0
218,222,501,0
219,236,452,0
220,236,77,0
221,238,81,0
222,238,249,0
223,243,281,0
224,243,380,0
225,244,573,0
226,244,484,0
227,244,614,0
228,244,671,0
229,244,142,0
230,244,44,0
231,245,652,0
232,245,401,0
233,245,106,0
234,245,253,0
235,245,520,0
236,345,48,0
237,382,108,0
238,382,576,0
239,382,222,0
240,382,360,0
241,382,107,0
242,409,317,0
243,409,247,0
244,409,691,0
245,409,631,0
246,409,201,0
247,409,439,0
248,409,501,0
249,409,468,0
250,409,673,0
251,409,2,0
252,409,173,0
253,409,213,0
254,409,420,0
255,409,265,0
256,431,553,0
257,442,97,0
258,442,113,0
259,442,322,0
260,516,557,0
261,516,382,0
262,516,110,0
263,516,333,0
264,516,70,0
265,517,537,0
266,518,224,0
267,518,681,0
268,524,251,0
269,524,94,0
270,540,515,0
271,540,265,0
272,540,626,0
273,540,14,0
274,540,165,0
275,541,632,0
276,583,582,0
277,594,383,0
278,594,515,0
279,604,173,0
280,604,211,0
281,604,370,0
282,604,269,0
283,604,392,0
284,604,634,0
285,604,33,0
286,604,180,0
287,604,537,0
288,604,270,0
289,604,182,0
290,604,93,0
291,604,80,0
292,604,161,0
293,604,539,0
294,604,517,0
295,604,127,0
296,604,266,0
297,604,490,0
298,604,599,0
299,604,210,0
300,604,342,0
301,604,461,0
302,604,317,0
303,606,209,0
304,639,526,0
305,639,574,0
306,653,431,0
307,653,276,0
308,654,466,0
309,654,478,0
310,654,545,0
311,654,454,0
312,654,277,0
313,654,162,0
314,654,229,0
315,654,375,0
316,671,508,0
317,671,146,0
318,671,231,0
319,671,277,0
320,671,570,0
321,671,237,0
322,671,84,0
323,671,658,0
324,671,681,0
325,671,482,0
326,671,536,0
327,671,324,0
328,671,458,0
329,671,617,0
330,671,240,0
331,671,4,0
332,671,319,0
333,671,436,0
334,671,622,0
335,671,104,0
336,671,50,0
337,671,633,0
338,671,334,0
339,671,639,0
340,671,551,0
341,686,128,0
