,TF,Target,Label
0,0,36,1
1,5,357,1
2,5,853,1
3,5,460,1
4,5,1348,1
5,5,346,1
6,5,740,1
7,5,826,1
8,5,874,1
9,5,277,1
10,5,1215,1
11,5,195,1
12,5,381,1
13,5,923,1
14,5,646,1
15,5,130,1
16,5,1364,1
17,6,475,1
18,7,93,1
19,16,1119,1
20,18,620,1
21,20,1007,1
22,30,354,1
23,30,539,1
24,30,228,1
25,30,1344,1
26,30,176,1
27,30,1343,1
28,30,1331,1
29,30,366,1
30,30,660,1
31,30,183,1
32,30,157,1
33,30,1374,1
34,30,942,1
35,32,743,1
36,32,862,1
37,32,98,1
38,32,829,1
39,32,942,1
40,32,1341,1
41,32,1151,1
42,32,902,1
43,32,1243,1
44,32,739,1
45,32,1206,1
46,32,30,1
47,32,948,1
48,32,1180,1
49,32,228,1
50,32,1353,1
51,32,600,1
52,32,765,1
53,32,706,1
54,32,1302,1
55,32,1344,1
56,33,393,1
57,33,1189,1
58,33,489,1
59,33,879,1
60,33,487,1
61,33,982,1
62,33,454,1
63,33,108,1
64,33,1099,1
65,33,392,1
66,33,403,1
67,33,675,1
68,33,1306,1
69,33,1097,1
70,33,1303,1
71,33,1288,1
72,34,759,1
73,34,942,1
74,34,489,1
75,34,1374,1
76,34,228,1
77,34,660,1
78,34,577,1
79,34,108,1
80,34,44,1
81,34,1249,1
82,34,1222,1
83,34,892,1
84,34,72,1
85,34,183,1
86,34,202,1
87,34,75,1
88,34,572,1
89,34,33,1
90,34,1332,1
91,34,563,1
92,34,30,1
93,34,606,1
94,34,1243,1
95,36,1118,1
96,36,1306,1
97,36,881,1
98,36,1241,1
99,36,600,1
100,36,329,1
101,36,32,1
102,36,1243,1
103,36,807,1
104,36,612,1
105,36,432,1
106,36,311,1
107,36,217,1
108,36,0,1
109,36,397,1
110,36,588,1
111,44,1131,1
112,44,34,1
113,44,539,1
114,44,254,1
115,44,95,1
116,44,609,1
117,44,202,1
118,46,314,1
119,46,848,1
120,46,835,1
121,46,351,1
122,46,333,1
123,46,487,1
124,49,635,1
125,49,1245,1
126,49,1364,1
127,49,454,1
128,49,101,1
129,49,1155,1
130,49,882,1
131,49,467,1
132,49,330,1
133,49,475,1
134,49,874,1
135,49,14,1
136,49,1169,1
137,49,423,1
138,55,769,1
139,55,224,1
140,55,1057,1
141,55,79,1
142,56,1027,1
143,56,330,1
144,56,47,1
145,56,1169,1
146,56,454,1
147,56,65,1
148,56,49,1
149,56,467,1
150,56,874,1
151,59,1149,1
152,59,66,1
153,59,5,1
154,59,736,1
155,59,381,1
156,59,1139,1
157,59,740,1
158,59,826,1
159,66,874,1
160,66,1189,1
161,66,27,1
162,66,357,1
163,66,284,1
164,66,5,1
165,66,346,1
166,66,646,1
167,66,1258,1
168,66,86,1
169,66,500,1
170,66,1364,1
171,66,1245,1
172,66,197,1
173,66,1033,1
174,66,454,1
175,71,85,1
176,72,1317,1
177,72,243,1
178,72,75,1
179,72,610,1
180,72,17,1
181,72,240,1
182,72,1119,1
183,72,847,1
184,72,612,1
185,72,111,1
186,72,347,1
187,72,257,1
188,72,413,1
189,72,477,1
190,72,223,1
191,72,34,1
192,72,143,1
193,72,606,1
194,73,606,1
195,74,340,1
196,74,108,1
197,74,931,1
198,74,768,1
199,74,673,1
200,74,932,1
201,74,903,1
202,76,643,1
203,76,392,1
204,79,1186,1
205,79,1057,1
206,79,1032,1
207,79,784,1
208,85,918,1
209,85,558,1
210,85,932,1
211,86,826,1
212,86,740,1
213,86,5,1
214,86,568,1
215,86,1149,1
216,86,110,1
217,86,500,1
218,89,606,1
219,89,932,1
220,108,1126,1
221,108,34,1
222,108,612,1
223,108,1332,1
224,108,1261,1
225,108,33,1
226,108,1216,1
227,108,931,1
228,108,214,1
229,108,704,1
230,108,1303,1
231,108,551,1
232,108,367,1
233,108,131,1
234,108,487,1
235,108,879,1
236,108,1387,1
237,108,221,1
238,108,588,1
239,108,209,1
240,108,305,1
241,116,1231,1
242,116,356,1
243,116,879,1
244,116,340,1
245,122,32,1
246,122,1012,1
247,130,1222,1
248,130,603,1
249,130,381,1
250,130,284,1
251,130,1149,1
252,130,94,1
253,130,66,1
254,130,1027,1
255,130,197,1
256,130,740,1
257,130,346,1
