,TF,Target,Label
0,1,819,1
1,1,823,1
2,1,790,1
3,1,306,1
4,1,424,1
5,1,593,1
6,1,563,1
7,1,188,1
8,1,676,1
9,1,442,1
10,1,427,1
11,1,406,1
12,1,639,1
13,1,620,1
14,1,606,1
15,1,575,1
16,4,548,1
17,4,370,1
18,4,220,1
19,4,441,1
20,4,666,1
21,4,556,1
22,4,137,1
23,4,864,1
24,4,515,1
25,4,319,1
26,4,186,1
27,4,745,1
28,4,642,1
29,4,387,1
30,4,523,1
31,4,769,1
32,4,496,1
33,4,41,1
34,4,242,1
35,4,94,1
36,4,128,1
37,5,470,1
38,14,249,1
39,14,75,1
40,14,560,1
41,14,161,1
42,14,623,1
43,14,551,1
44,14,176,1
45,14,945,1
46,14,510,1
47,14,87,1
48,15,858,1
49,15,87,1
50,15,916,1
51,15,816,1
52,15,277,1
53,15,591,1
54,15,161,1
55,15,623,1
56,20,501,1
57,20,379,1
58,22,470,1
59,22,86,1
60,22,939,1
61,22,228,1
62,22,833,1
63,22,394,1
64,22,758,1
65,22,317,1
66,22,131,1
67,22,534,1
68,22,858,1
69,22,249,1
70,24,864,1
71,24,242,1
72,24,496,1
73,24,319,1
74,24,590,1
75,24,500,1
76,24,105,1
77,24,756,1
78,24,681,1
79,24,382,1
80,24,669,1
81,24,515,1
82,24,296,1
83,24,523,1
84,24,358,1
85,24,655,1
86,24,946,1
87,24,186,1
88,24,387,1
89,24,745,1
90,24,4,1
91,26,39,1
92,26,888,1
93,26,892,1
94,26,858,1
95,26,709,1
96,26,794,1
97,26,804,1
98,26,522,1
99,26,197,1
100,26,556,1
101,26,600,1
102,26,462,1
103,28,854,1
104,28,435,1
105,28,139,1
106,28,905,1
107,28,456,1
108,36,114,1
109,36,267,1
110,37,275,1
111,37,139,1
112,38,421,1
113,38,662,1
114,38,610,1
115,38,786,1
116,38,226,1
117,38,635,1
118,38,250,1
119,38,499,1
120,38,64,1
121,38,620,1
122,38,222,1
123,38,515,1
124,38,259,1
125,38,307,1
126,38,40,1
127,38,190,1
128,38,96,1
129,38,9,1
130,38,213,1
131,38,367,1
132,39,139,1
133,39,328,1
134,39,482,1
135,39,87,1
136,39,815,1
137,39,452,1
138,39,85,1
139,39,546,1
140,39,518,1
141,39,819,1
142,39,539,1
143,39,470,1
144,39,736,1
145,39,406,1
146,39,522,1
147,39,528,1
148,39,631,1
149,39,249,1
150,39,124,1
151,39,766,1
152,39,319,1
153,40,939,1
154,40,687,1
155,40,184,1
156,40,365,1
157,40,499,1
158,40,575,1
159,40,64,1
160,40,307,1
161,40,676,1
162,40,426,1
163,40,441,1
164,40,38,1
165,40,226,1
166,40,936,1
167,40,41,1
168,40,342,1
169,40,515,1
170,40,493,1
171,40,736,1
172,41,414,1
173,41,815,1
174,41,307,1
175,41,328,1
176,41,499,1
177,41,750,1
178,41,554,1
179,41,465,1
180,41,127,1
181,41,296,1
182,41,387,1
183,41,470,1
184,41,786,1
185,41,749,1
186,41,226,1
187,41,112,1
188,41,96,1
189,41,662,1
190,41,38,1
191,41,370,1
192,41,581,1
193,41,642,1
194,41,482,1
195,41,94,1
196,41,363,1
197,41,546,1
198,41,850,1
199,41,788,1
200,41,211,1
201,41,610,1
202,41,319,1
203,41,300,1
204,41,728,1
205,41,634,1
206,41,681,1
207,41,375,1
208,41,946,1
209,41,216,1
210,41,250,1
211,41,520,1
212,41,718,1
213,41,85,1
214,41,496,1
215,41,476,1
216,41,67,1
217,41,198,1
218,41,538,1
219,41,4,1
220,41,838,1
221,41,486,1
222,41,901,1
223,41,105,1
224,41,40,1
225,41,641,1
226,41,186,1
227,43,311,1
228,43,134,1
229,43,539,1
230,43,876,1
231,43,154,1
232,43,181,1
233,43,247,1
234,43,29,1
235,43,908,1
236,43,620,1
237,43,378,1
238,43,736,1
