,TF,Target,Label
0,0,1276,1
1,0,996,1
2,0,1143,1
3,0,11,1
4,0,187,1
5,0,470,1
6,0,1127,1
7,0,1118,1
8,2,935,1
9,2,570,1
10,2,469,1
11,2,884,1
12,2,324,1
13,2,200,1
14,2,418,1
15,2,625,1
16,2,475,1
17,2,1046,1
18,2,413,1
19,2,1168,1
20,2,882,1
21,2,945,1
22,2,81,1
23,2,25,1
24,2,1062,1
25,2,1283,1
26,2,319,1
27,2,907,1
28,2,114,1
29,2,832,1
30,2,850,1
31,2,16,1
32,2,442,1
33,2,585,1
34,2,952,1
35,2,328,1
36,2,878,1
37,2,694,1
38,2,607,1
39,2,4,1
40,2,700,1
41,2,489,1
42,2,1312,1
43,2,513,1
44,8,142,1
45,8,802,1
46,8,1204,1
47,8,332,1
48,8,578,1
49,8,313,1
50,8,1085,1
51,8,229,1
52,8,200,1
53,8,908,1
54,8,1076,1
55,8,570,1
56,8,700,1
57,8,944,1
58,8,607,1
59,8,585,1
60,8,716,1
61,8,1263,1
62,8,713,1
63,8,92,1
64,8,882,1
65,8,336,1
66,8,173,1
67,8,625,1
68,8,809,1
69,8,1083,1
70,8,935,1
71,8,450,1
72,8,125,1
73,8,1029,1
74,8,319,1
75,8,888,1
76,8,348,1
77,8,827,1
78,11,0,1
79,11,312,1
80,11,996,1
81,11,1057,1
82,11,1179,1
83,11,187,1
84,11,470,1
85,11,1055,1
86,14,1118,1
87,14,485,1
88,14,1216,1
89,14,591,1
90,14,386,1
91,14,1135,1
92,14,855,1
93,14,287,1
94,14,538,1
95,14,878,1
96,14,496,1
97,14,1014,1
98,14,470,1
99,14,851,1
100,14,551,1
101,14,0,1
102,14,40,1
103,14,736,1
104,14,1167,1
105,14,597,1
106,14,787,1
107,14,37,1
108,14,1055,1
109,14,1015,1
110,14,1172,1
111,14,442,1
112,14,462,1
113,14,1310,1
114,14,1057,1
115,14,1127,1
116,14,848,1
117,14,1312,1
118,14,699,1
119,14,1133,1
120,14,856,1
121,14,311,1
122,14,781,1
123,14,251,1
124,14,506,1
125,14,1301,1
126,14,187,1
127,14,681,1
128,14,697,1
129,14,996,1
130,14,1156,1
131,14,533,1
132,14,636,1
133,14,605,1
134,14,499,1
135,14,215,1
136,14,417,1
137,14,25,1
138,14,1036,1
139,14,920,1
140,14,663,1
141,14,938,1
142,14,31,1
143,14,628,1
144,14,328,1
145,14,951,1
146,14,650,1
147,14,1106,1
148,14,702,1
149,14,207,1
150,14,789,1
151,14,961,1
152,14,89,1
153,14,692,1
154,15,1314,1
155,15,568,1
156,15,576,1
157,15,682,1
158,15,1193,1
159,15,578,1
160,15,921,1
161,15,126,1
162,15,1159,1
163,15,1244,1
164,15,83,1
165,15,1311,1
166,15,251,1
167,15,191,1
168,16,413,1
169,16,180,1
170,16,781,1
171,16,1019,1
172,16,952,1
173,16,795,1
174,16,878,1
175,16,907,1
176,16,25,1
177,20,506,1
178,20,220,1
179,20,14,1
180,20,1305,1
181,20,68,1
182,20,251,1
183,20,809,1
184,20,921,1
185,21,25,1
186,21,413,1
187,21,1019,1
188,21,1176,1
189,21,605,1
190,21,16,1
191,21,952,1
192,21,180,1
193,21,907,1
194,23,654,1
195,23,142,1
196,25,1277,1
197,25,656,1
198,25,263,1
199,25,205,1
200,25,1118,1
201,25,837,1
202,25,1089,1
203,25,679,1
204,25,1301,1
205,25,1244,1
206,25,619,1
207,25,472,1
208,25,481,1
209,25,795,1
210,25,936,1
211,25,469,1
212,25,159,1
213,25,187,1
214,25,851,1
215,25,1055,1
216,25,142,1
217,25,418,1
218,25,355,1
219,25,1283,1
220,25,148,1
221,25,1167,1
222,25,885,1
223,25,1138,1
224,25,605,1
225,25,238,1
226,25,1008,1
227,25,1176,1
228,25,196,1
229,25,1019,1
230,25,952,1
231,25,832,1
232,25,921,1
233,25,1275,1
234,25,899,1
235,25,533,1
236,25,1030,1
237,25,311,1
238,25,1238,1
239,25,390,1
240,25,180,1
241,25,1314,1
242,25,1135,1
243,31,251,1
244,31,14,1
245,32,450,1
246,32,173,1
247,32,1268,1
248,32,813,1
249,32,489,1
250,32,809,1
251,32,882,1
252,33,816,1
253,33,1164,1
254,33,1151,1
255,33,622,1
256,33,1093,1
257,36,867,1
258,40,455,1
259,40,1118,1
260,40,692,1
261,40,14,1
262,40,1089,1
263,48,144,1
264,48,699,1
265,48,463,1
266,48,1102,1
267,48,1164,1
268,68,736,1
269,68,921,1
270,68,251,1
271,68,20,1
272,70,1252,1
273,70,719,1
274,74,878,1
275,74,1019,1
276,74,533,1
277,74,605,1
278,74,919,1
279,74,240,1
280,74,230,1
281,74,952,1
282,74,161,1
283,74,1176,1
284,74,148,1
285,74,907,1
286,74,679,1
287,74,804,1
288,74,837,1
289,82,512,1
290,82,1075,1
291,82,414,1
292,83,316,1
293,83,469,1
294,83,1046,1
295,83,1305,1
296,83,442,1
297,83,604,1
298,83,605,1
299,83,1135,1
300,83,1193,1
301,83,1120,1
302,83,475,1
