,TF,Target,Label
0,2,292,1
1,2,411,1
2,2,743,1
3,2,834,1
4,2,1073,1
5,2,1065,1
6,2,167,1
7,2,867,1
8,2,775,1
9,2,328,1
10,2,392,1
11,2,71,1
12,2,369,1
13,2,788,1
14,2,1079,1
15,2,640,1
16,2,319,1
17,2,1033,1
18,4,118,1
19,4,648,1
20,4,987,1
21,4,245,1
22,4,967,1
23,4,929,1
24,4,179,1
25,4,645,1
26,4,189,1
27,4,286,1
28,4,192,1
29,4,737,1
30,4,976,1
31,4,364,1
32,4,460,1
33,4,292,1
34,4,221,1
35,4,1022,1
36,4,611,1
37,4,944,1
38,4,1065,1
39,4,506,1
40,4,280,1
41,4,453,1
42,4,867,1
43,4,218,1
44,4,1030,1
45,4,764,1
46,4,328,1
47,4,1043,1
48,4,141,1
49,4,415,1
50,4,628,1
51,4,763,1
52,4,1064,1
53,4,68,1
54,6,860,1
55,6,1106,1
56,7,425,1
57,7,912,1
58,7,460,1
59,7,772,1
60,7,837,1
61,7,79,1
62,7,980,1
63,7,823,1
64,7,994,1
65,7,987,1
66,7,217,1
67,7,495,1
68,8,445,1
69,8,160,1
70,8,912,1
71,8,455,1
72,8,908,1
73,8,116,1
74,8,324,1
75,10,185,1
76,10,85,1
77,10,460,1
78,10,532,1
79,10,1117,1
80,10,629,1
81,10,346,1
82,10,867,1
83,10,846,1
84,10,589,1
85,10,334,1
86,10,495,1
87,10,842,1
88,11,1079,1
89,11,97,1
90,14,724,1
91,15,1023,1
92,21,867,1
93,21,273,1
94,21,1022,1
95,21,1033,1
96,21,475,1
97,21,995,1
98,21,48,1
99,21,1010,1
100,21,629,1
101,21,293,1
102,21,582,1
103,21,660,1
104,21,466,1
105,21,409,1
106,21,24,1
107,21,917,1
108,21,182,1
109,21,245,1
110,21,1041,1
111,21,655,1
112,21,1115,1
113,21,598,1
114,21,727,1
115,21,1003,1
116,21,328,1
117,21,393,1
118,21,906,1
119,21,989,1
120,21,645,1
121,21,1064,1
122,21,1058,1
123,21,225,1
124,21,104,1
125,21,543,1
126,21,79,1
127,21,782,1
128,21,247,1
129,21,996,1
130,21,653,1
131,21,174,1
132,21,736,1
133,21,685,1
134,21,976,1
135,21,990,1
136,21,929,1
137,21,189,1
138,21,423,1
139,24,328,1
140,24,1065,1
141,24,287,1
142,24,887,1
143,24,685,1
144,24,409,1
145,24,1008,1
146,24,1061,1
147,24,201,1
148,24,595,1
149,24,941,1
150,24,21,1
151,24,95,1
152,24,279,1
153,24,782,1
154,24,292,1
155,24,34,1
156,24,884,1
157,24,245,1
158,24,393,1
159,24,867,1
160,24,370,1
161,24,1023,1
162,24,728,1
163,31,85,1
164,31,217,1
165,31,994,1
166,31,772,1
167,31,920,1
168,31,837,1
169,31,912,1
170,31,528,1
171,31,495,1
172,31,823,1
173,31,745,1
174,31,987,1
175,34,245,1
176,34,1119,1
177,34,929,1
178,34,559,1
179,34,21,1
180,34,221,1
181,34,817,1
182,34,889,1
183,34,79,1
184,34,118,1
185,34,648,1
186,34,843,1
187,34,998,1
188,34,789,1
189,34,922,1
190,34,364,1
191,34,280,1
192,34,177,1
193,34,655,1
194,34,167,1
195,34,906,1
196,34,1041,1
197,34,598,1
198,34,664,1
199,34,459,1
200,34,1032,1
201,34,987,1
202,34,782,1
203,34,555,1
204,34,185,1
205,34,901,1
206,34,24,1
207,34,1058,1
208,34,917,1
209,34,446,1
210,34,1022,1
211,34,595,1
212,34,589,1
213,34,171,1
214,34,4,1
215,34,961,1
216,34,189,1
217,34,286,1
218,34,851,1
219,40,831,1
220,40,519,1
221,40,1065,1
222,42,171,1
223,43,495,1
224,43,460,1
225,43,961,1
226,43,589,1
227,48,21,1
228,48,654,1
229,48,319,1
230,48,655,1
231,48,443,1
232,48,15,1
233,48,995,1
234,48,364,1
235,50,99,1
236,50,966,1
237,54,1041,1
238,54,1065,1
239,54,917,1
240,54,34,1
241,54,1058,1
242,54,157,1
243,54,17,1
244,54,1032,1
245,55,640,1
246,55,94,1
247,55,983,1
248,55,1117,1
249,55,848,1
250,55,460,1
251,55,477,1
252,55,1058,1
253,55,334,1
254,55,1040,1
255,55,655,1
256,55,364,1
257,55,157,1
258,56,575,1
259,56,702,1
260,63,1066,1
261,63,746,1
262,63,1102,1
263,63,458,1
264,63,81,1
265,63,935,1
266,65,481,1
267,65,514,1
268,65,1081,1
269,65,588,1
270,65,766,1
271,68,1083,1
272,68,1026,1
273,68,170,1
274,68,192,1
275,71,328,1
276,71,519,1
277,71,272,1
278,71,533,1
279,71,857,1
280,71,86,1
281,71,2,1
282,72,260,1
283,72,444,1
284,76,551,1
285,76,184,1
286,77,953,1
287,77,624,1
288,77,548,1
289,77,401,1
290,77,79,1
291,77,1067,1
292,77,874,1
293,77,153,1
294,77,383,1
295,77,510,1
296,77,1097,1
297,77,296,1
298,79,425,1
299,79,390,1
300,79,1072,1
301,79,737,1
302,79,4,1
303,79,994,1
304,79,2,1
305,79,833,1
306,79,343,1
307,79,1073,1
308,79,383,1
309,79,174,1
310,79,871,1
311,79,21,1
312,79,403,1
313,79,724,1
314,79,443,1
315,79,844,1
316,79,1032,1
317,79,633,1
318,79,761,1
319,79,528,1
320,79,34,1
321,79,1030,1
322,79,1060,1
323,79,501,1
324,79,641,1
325,79,432,1
326,79,107,1
327,79,389,1
328,79,912,1
329,79,337,1
330,79,77,1
331,79,558,1
332,79,217,1
333,79,1000,1
334,79,373,1
335,79,524,1
336,79,808,1
337,79,401,1
338,79,980,1
339,79,85,1
340,79,185,1
341,79,745,1
342,79,418,1
343,79,1055,1
344,79,1042,1
345,79,985,1
346,81,881,1
347,81,1066,1
348,81,1067,1
349,81,458,1
350,81,966,1
351,81,754,1
352,81,269,1
353,81,210,1
354,81,746,1
355,83,640,1
356,83,733,1
357,83,393,1
358,83,629,1
359,83,346,1
360,83,10,1
361,83,846,1
362,83,185,1
363,83,55,1
364,83,500,1
365,83,364,1
366,83,448,1
367,83,680,1
368,83,477,1
369,83,1117,1
370,83,334,1
371,83,426,1
372,83,649,1
373,83,536,1
374,85,7,1
375,85,745,1
376,85,1042,1
377,85,1117,1
378,85,407,1
