,TF,Target,Label
0,4,1058,1
1,4,829,1
2,4,136,1
3,4,79,1
4,17,793,1
5,17,416,1
6,17,1198,1
7,17,971,1
8,17,935,1
9,17,860,1
10,17,723,1
11,17,180,1
12,17,1174,1
13,17,714,1
14,17,1101,1
15,17,467,1
16,17,381,1
17,17,307,1
18,17,471,1
19,17,410,1
20,17,747,1
21,17,79,1
22,23,995,1
23,23,1176,1
24,23,1070,1
25,27,320,1
26,27,929,1
27,27,151,1
28,27,932,1
29,30,1144,1
30,30,66,1
31,30,975,1
32,30,790,1
33,30,198,1
34,30,237,1
35,30,608,1
36,30,732,1
37,30,588,1
38,54,217,1
39,54,36,1
40,54,118,1
41,54,240,1
42,59,1039,1
43,59,1050,1
44,59,410,1
45,59,1018,1
46,59,554,1
47,59,877,1
48,59,1031,1
49,59,467,1
50,59,1061,1
51,59,1002,1
52,59,802,1
53,59,747,1
54,59,416,1
55,59,860,1
56,59,871,1
57,59,240,1
58,59,840,1
59,63,241,1
60,72,806,1
61,72,849,1
62,72,723,1
63,72,180,1
64,72,1037,1
65,72,311,1
66,72,127,1
67,72,307,1
68,78,577,1
69,78,670,1
70,78,215,1
71,79,1183,1
72,79,396,1
73,79,1182,1
74,79,1037,1
75,79,381,1
76,79,1198,1
77,79,806,1
78,79,454,1
79,79,4,1
80,79,714,1
81,79,573,1
82,79,180,1
83,79,763,1
84,80,1091,1
85,80,150,1
86,80,106,1
87,80,605,1
88,80,120,1
89,82,295,1
90,82,1150,1
91,82,234,1
92,82,1100,1
93,82,877,1
94,82,770,1
95,82,440,1
96,82,719,1
97,82,537,1
98,82,511,1
99,82,750,1
100,82,751,1
101,95,610,1
102,95,215,1
103,95,325,1
104,95,246,1
105,95,1175,1
106,95,239,1
107,110,151,1
108,111,315,1
109,111,169,1
110,111,434,1
111,111,748,1
112,111,265,1
113,111,679,1
114,111,813,1
115,111,855,1
116,111,189,1
117,111,350,1
118,111,118,1
119,111,998,1
120,111,950,1
121,111,765,1
122,111,145,1
123,111,66,1
124,111,440,1
125,111,198,1
126,111,466,1
127,111,608,1
128,111,996,1
129,111,420,1
130,111,274,1
131,111,43,1
132,111,237,1
133,111,1010,1
134,111,989,1
135,111,1073,1
136,111,48,1
137,111,975,1
138,111,885,1
139,118,965,1
140,118,189,1
141,118,102,1
142,118,576,1
143,118,265,1
144,118,732,1
145,118,53,1
146,118,316,1
147,118,521,1
148,118,679,1
149,118,1095,1
150,118,1004,1
151,118,418,1
152,118,424,1
153,118,1130,1
154,118,133,1
155,118,366,1
156,118,34,1
157,118,749,1
158,118,1144,1
159,118,48,1
160,118,1010,1
161,118,66,1
162,118,537,1
163,118,313,1
164,118,43,1
165,118,280,1
166,118,234,1
167,118,608,1
168,118,466,1
169,118,838,1
170,118,975,1
171,118,933,1
172,118,1063,1
173,118,198,1
174,118,111,1
175,118,24,1
176,118,100,1
177,118,615,1
178,118,297,1
179,118,1042,1
180,118,1047,1
181,125,515,1
182,141,552,1
183,141,150,1
184,141,540,1
185,141,907,1
186,141,444,1
187,141,143,1
188,141,96,1
189,141,221,1
190,141,510,1
191,141,550,1
192,141,1177,1
193,141,231,1
194,141,651,1
195,143,389,1
196,143,1013,1
197,143,779,1
198,143,688,1
199,143,847,1
200,143,340,1
201,143,150,1
202,143,510,1
203,143,120,1
204,143,1044,1
205,143,501,1
206,143,231,1
207,143,540,1
208,143,295,1
209,143,444,1
210,143,552,1
211,143,907,1
212,151,417,1
213,151,582,1
214,151,658,1
215,151,128,1
216,151,394,1
217,151,449,1
218,155,367,1
219,155,821,1
220,161,298,1
221,161,819,1
222,162,82,1
223,162,1150,1
224,162,1100,1
225,180,673,1
226,180,408,1
227,180,191,1
228,180,17,1
229,180,79,1
230,180,609,1
231,180,1091,1
232,180,659,1
233,191,95,1
234,192,995,1
235,192,23,1
236,192,772,1
237,192,750,1
238,202,267,1
239,202,677,1
240,205,609,1
241,206,963,1
242,206,189,1
243,206,315,1
244,206,43,1
245,206,939,1
246,206,1122,1
247,206,466,1
248,206,301,1
249,206,1063,1
250,206,968,1
251,206,9,1
252,206,988,1
253,206,803,1
254,206,861,1
255,206,198,1
256,206,48,1
257,206,1000,1
258,206,732,1
259,206,648,1
260,215,1172,1
261,215,95,1
262,215,971,1
263,215,17,1
264,215,431,1
265,215,403,1
266,215,849,1
267,215,307,1
268,215,1083,1
269,216,1100,1
270,216,258,1
271,216,878,1
272,216,995,1
273,217,1050,1
274,217,54,1
275,220,1196,1
276,233,215,1
277,233,276,1
278,233,449,1
279,233,290,1
280,236,186,1
281,244,440,1
282,244,102,1
283,244,765,1
284,244,133,1
285,244,993,1
286,244,886,1
287,244,813,1
288,255,1037,1
289,255,307,1
290,258,126,1
291,258,1100,1
292,258,1173,1
293,267,66,1
294,267,608,1
295,267,992,1
296,267,790,1
297,267,48,1
298,267,202,1
299,267,615,1
300,276,449,1
301,276,714,1
302,276,582,1
303,276,233,1
304,290,233,1
305,290,1083,1
306,290,311,1
307,290,1053,1
308,291,195,1
309,291,646,1
310,297,950,1
311,297,521,1
312,297,66,1
313,297,993,1
314,297,237,1
315,297,899,1
316,297,133,1
317,297,1130,1
318,297,576,1
319,297,975,1
320,297,145,1
321,297,748,1
322,297,274,1
323,297,965,1
324,297,608,1
325,297,885,1
326,297,790,1
327,297,424,1
328,297,111,1
329,297,827,1
330,297,868,1
331,297,855,1
332,297,313,1
333,297,366,1
334,297,315,1
335,297,43,1
336,297,732,1
337,297,989,1
338,297,679,1
339,297,265,1
340,297,157,1
341,297,615,1
342,297,118,1
343,297,444,1
344,298,161,1
345,298,1061,1
346,306,56,1
347,306,317,1
348,306,9,1
349,306,670,1
350,306,914,1
351,307,582,1
352,307,659,1
353,307,995,1
354,307,849,1
355,307,806,1
356,307,216,1
357,307,714,1
358,307,255,1
359,307,1100,1
360,307,126,1
361,307,763,1
362,307,17,1
363,311,290,1
364,311,582,1
365,311,1053,1
366,325,610,1
367,332,448,1
368,332,806,1
369,332,1036,1
370,332,615,1
371,335,670,1
372,335,756,1
373,340,1098,1
374,340,295,1
375,340,1013,1
376,340,150,1
377,340,143,1
378,341,855,1
379,341,770,1
380,341,899,1
381,341,993,1
382,341,813,1
383,357,1100,1
384,357,433,1
385,357,1114,1
386,357,835,1
387,357,754,1
388,389,143,1
389,389,1154,1
390,389,1013,1
391,389,120,1
392,394,1165,1
393,394,381,1
394,417,151,1
395,417,113,1
396,417,276,1
397,420,765,1
398,420,933,1
399,447,790,1
400,447,968,1
401,447,880,1
402,447,543,1
403,447,608,1
404,447,992,1
405,447,1073,1
406,447,145,1
407,447,989,1
408,447,350,1
409,447,189,1
410,447,982,1
411,447,43,1
412,447,776,1
413,447,615,1
414,447,679,1
415,447,169,1
416,447,301,1
417,448,332,1
418,449,995,1
419,449,1083,1
420,449,721,1
421,449,145,1
422,449,233,1
423,449,151,1
424,454,180,1
425,454,236,1
426,454,79,1
427,461,833,1
428,482,677,1
429,482,267,1
430,541,307,1
431,543,145,1
432,543,338,1
433,543,206,1
434,543,48,1
435,543,790,1
436,543,966,1
437,543,679,1
438,543,1000,1
439,543,466,1
440,543,583,1
441,543,444,1
442,543,880,1
443,543,690,1
444,543,992,1
445,543,739,1
446,543,963,1
447,543,1010,1
448,543,9,1
449,543,53,1
450,543,648,1
451,543,660,1
452,543,1073,1
453,543,803,1
454,553,604,1
455,553,1005,1
456,553,60,1
457,555,1111,1
458,577,721,1
459,577,833,1
460,577,78,1
461,577,113,1
462,577,706,1
463,577,677,1
464,577,291,1
465,577,335,1
466,582,763,1
467,582,307,1
468,582,658,1
469,582,386,1
470,582,1157,1
471,582,1118,1
472,582,592,1
473,582,160,1
474,582,709,1
475,582,79,1
476,588,189,1
477,588,157,1
478,588,53,1
479,588,965,1
480,588,418,1
481,588,886,1
482,588,118,1
483,588,748,1
484,588,169,1
485,588,1135,1
486,588,521,1
487,588,315,1
488,588,297,1
489,588,996,1
490,588,1004,1
491,588,989,1
492,588,477,1
493,588,102,1
494,588,350,1
495,588,281,1
496,588,732,1
497,588,993,1
498,588,66,1
499,588,679,1
500,588,274,1
501,588,280,1
502,588,1010,1
503,588,237,1
