,TF,Target,Label
0,2,619,1
1,13,407,1
2,13,43,1
3,13,241,1
4,13,517,1
5,21,378,1
6,24,26,1
7,24,311,1
8,24,111,1
9,24,611,1
10,35,205,1
11,35,16,1
12,35,443,1
13,35,222,1
14,35,421,1
15,35,304,1
16,35,164,1
17,35,195,1
18,35,509,1
19,35,565,1
20,35,31,1
21,35,72,1
22,35,362,1
23,35,153,1
24,35,587,1
25,41,455,1
26,41,464,1
27,41,72,1
28,41,243,1
29,41,256,1
30,41,508,1
31,41,611,1
32,41,565,1
33,41,443,1
34,41,220,1
35,41,566,1
36,41,559,1
37,41,229,1
38,41,71,1
39,41,52,1
40,41,402,1
41,41,237,1
42,41,489,1
43,41,421,1
44,41,164,1
45,62,221,1
46,62,195,1
47,92,567,1
48,93,604,1
49,93,589,1
50,93,161,1
51,93,611,1
52,93,631,1
53,112,80,1
54,112,426,1
55,112,190,1
56,112,551,1
57,112,30,1
58,112,187,1
59,112,34,1
60,118,261,1
61,118,563,1
62,118,155,1
63,119,609,1
64,131,377,1
65,131,486,1
66,137,111,1
67,137,489,1
68,137,566,1
69,137,256,1
70,153,576,1
71,153,195,1
72,153,221,1
73,153,35,1
74,155,118,1
75,155,305,1
76,155,570,1
77,158,196,1
78,158,271,1
79,158,443,1
80,158,220,1
81,158,421,1
82,166,261,1
83,174,337,1
84,187,305,1
85,187,112,1
86,187,217,1
87,187,38,1
88,193,567,1
89,193,304,1
90,195,220,1
91,195,205,1
92,195,221,1
93,195,443,1
94,195,164,1
95,195,35,1
96,195,72,1
97,195,599,1
98,196,229,1
99,196,271,1
100,205,152,1
101,205,195,1
102,205,625,1
103,205,425,1
104,205,144,1
105,205,259,1
106,205,263,1
107,205,606,1
108,216,467,1
109,216,489,1
110,216,167,1
111,216,111,1
112,221,16,1
113,221,587,1
114,221,195,1
115,221,440,1
116,221,62,1
117,222,297,1
118,222,31,1
119,229,321,1
120,229,72,1
121,229,251,1
122,229,196,1
123,229,489,1
124,229,266,1
125,229,508,1
126,229,403,1
127,229,164,1
128,229,271,1
129,229,71,1
130,229,550,1
131,229,464,1
132,229,167,1
133,229,559,1
134,229,52,1
135,234,31,1
136,238,567,1
137,243,240,1
138,243,256,1
139,243,98,1
140,243,251,1
141,243,26,1
142,243,402,1
143,243,479,1
144,243,52,1
145,243,164,1
146,243,266,1
147,243,220,1
148,243,566,1
149,243,41,1
150,243,443,1
151,243,309,1
152,243,532,1
153,243,471,1
154,243,111,1
155,243,71,1
156,243,191,1
157,256,254,1
158,256,309,1
159,256,243,1
160,256,443,1
161,256,266,1
162,256,455,1
163,256,41,1
164,256,111,1
165,256,403,1
166,256,26,1
167,256,167,1
168,256,237,1
169,256,191,1
170,256,550,1
171,256,508,1
172,256,471,1
173,256,565,1
174,256,240,1
175,256,614,1
176,256,611,1
177,256,137,1
178,260,486,1
179,260,46,1
180,260,288,1
181,261,554,1
182,261,564,1
183,261,469,1
184,261,35,1
185,261,31,1
186,261,305,1
187,261,118,1
188,261,439,1
189,263,144,1
190,263,593,1
191,263,169,1
192,263,606,1
193,263,186,1
194,263,97,1
195,263,205,1
196,263,548,1
197,263,38,1
198,263,624,1
199,263,291,1
200,263,425,1
201,263,530,1
202,266,403,1
203,266,309,1
204,266,402,1
205,266,191,1
206,266,565,1
207,266,559,1
208,266,443,1
209,266,614,1
210,266,71,1
211,266,468,1
212,266,52,1
213,266,41,1
214,266,240,1
215,266,479,1
216,266,464,1
217,266,26,1
218,266,254,1
219,266,532,1
220,266,243,1
221,266,99,1
222,270,567,1
223,271,599,1
224,271,237,1
225,271,229,1
226,271,196,1
227,271,158,1
228,277,93,1
229,277,377,1
230,289,567,1
231,304,31,1
232,304,35,1
233,304,319,1
234,304,193,1
235,311,529,1
236,315,31,1
237,315,277,1
238,315,321,1
239,319,31,1
240,319,304,1
241,321,229,1
242,321,341,1
243,321,469,1
244,321,93,1
245,322,180,1
246,322,451,1
247,322,80,1
248,322,551,1
249,326,586,1
250,326,437,1
251,326,241,1
252,326,517,1
253,338,234,1
254,338,31,1
255,339,469,1
256,377,131,1
257,377,187,1
258,377,280,1
259,377,589,1
260,377,500,1
261,377,11,1
262,377,261,1
