,TF,Target,Label
0,8,371,1
1,39,454,1
2,97,655,1
3,97,147,1
4,97,128,1
5,107,435,1
6,109,340,1
7,109,442,1
8,122,649,1
9,122,583,1
10,148,655,1
11,148,150,1
12,148,301,1
13,150,148,1
14,193,325,1
15,193,246,1
16,208,649,1
17,208,583,1
18,229,499,1
19,229,621,1
20,229,332,1
21,229,189,1
22,229,546,1
23,229,550,1
24,229,519,1
25,291,331,1
26,330,463,1
27,331,691,1
28,331,291,1
29,333,494,1
30,368,519,1
31,368,499,1
32,368,332,1
33,368,546,1
34,368,550,1
35,368,571,1
36,368,340,1
37,371,8,1
38,375,687,1
39,384,331,1
40,384,517,1
41,384,462,1
42,384,477,1
43,400,189,1
44,400,229,1
45,400,332,1
46,400,463,1
47,400,133,1
48,400,519,1
49,400,550,1
50,435,549,1
51,435,655,1
52,435,107,1
53,435,331,1
54,436,25,1
55,436,690,1
56,442,40,1
57,462,384,1
58,494,194,1
59,494,580,1
60,506,40,1
61,560,432,1
62,560,488,1
63,560,195,1
64,560,41,1
65,560,617,1
66,560,674,1
67,560,245,1
68,560,115,1
69,560,651,1
70,560,436,1
71,583,208,1
72,583,649,1
73,589,389,1
74,590,97,1
75,610,248,1
76,617,560,1
77,632,435,1
78,649,122,1
79,649,583,1
80,649,40,1
81,649,150,1
82,655,134,1
83,655,97,1
84,655,435,1
85,655,148,1
86,687,375,1
87,690,436,1
88,690,607,1
89,691,494,1
90,691,655,1
91,691,331,1
92,691,235,1
93,8,226,0
94,39,194,0
95,97,280,0
96,97,463,0
97,97,145,0
98,107,274,0
99,109,302,0
100,109,409,0
101,122,265,0
102,122,298,0
103,148,166,0
104,148,669,0
105,148,18,0
106,150,180,0
107,193,180,0
108,193,341,0
109,208,198,0
110,208,462,0
111,229,622,0
112,229,0,0
113,229,413,0
114,229,481,0
115,229,557,0
116,229,414,0
117,229,506,0
118,291,33,0
119,330,538,0
120,331,624,0
121,331,610,0
122,333,458,0
123,368,652,0
124,368,354,0
125,368,192,0
126,368,175,0
127,368,352,0
128,368,216,0
129,368,360,0
130,371,500,0
131,375,31,0
132,384,194,0
133,384,544,0
134,384,180,0
135,384,429,0
136,400,355,0
137,400,317,0
138,400,309,0
139,400,403,0
140,400,631,0
141,400,540,0
142,400,654,0
143,435,599,0
144,435,91,0
145,435,680,0
146,435,618,0
147,436,238,0
148,436,456,0
149,442,121,0
150,462,319,0
151,494,43,0
152,494,14,0
153,506,80,0
154,560,427,0
155,560,538,0
156,560,410,0
157,560,486,0
158,560,221,0
159,560,665,0
160,560,390,0
161,560,268,0
162,560,352,0
163,560,438,0
164,583,622,0
165,583,381,0
166,589,650,0
167,590,656,0
168,610,199,0
169,617,150,0
170,632,15,0
171,649,207,0
172,649,588,0
173,649,517,0
174,649,197,0
175,655,685,0
176,655,275,0
177,655,11,0
178,655,308,0
179,687,90,0
180,690,227,0
181,690,387,0
182,691,164,0
183,691,323,0
184,691,672,0
185,691,398,0
