,TF,Target,Label
0,10,308,1
1,10,577,1
2,10,200,1
3,10,11,1
4,10,257,1
5,10,243,1
6,10,808,1
7,10,439,1
8,10,393,1
9,10,333,1
10,10,891,1
11,10,554,1
12,10,720,1
13,10,557,1
14,10,666,1
15,10,120,1
16,10,450,1
17,10,240,1
18,10,3,1
19,10,189,1
20,10,536,1
21,10,457,1
22,10,947,1
23,10,833,1
24,10,869,1
25,10,592,1
26,10,534,1
27,10,78,1
28,10,512,1
29,10,443,1
30,10,294,1
31,10,165,1
32,10,239,1
33,10,435,1
34,10,54,1
35,10,166,1
36,10,780,1
37,10,467,1
38,10,764,1
39,10,836,1
40,10,933,1
41,10,625,1
42,10,311,1
43,10,286,1
44,10,32,1
45,10,266,1
46,10,759,1
47,10,263,1
48,10,714,1
49,10,328,1
50,10,392,1
51,10,281,1
52,10,455,1
53,10,287,1
54,10,387,1
55,10,774,1
56,10,437,1
57,10,727,1
58,10,426,1
59,10,288,1
60,10,807,1
61,10,352,1
62,10,647,1
63,10,104,1
64,10,335,1
65,10,284,1
66,10,389,1
67,10,168,1
68,10,207,1
69,10,893,1
70,10,768,1
71,10,929,1
72,10,73,1
73,10,542,1
74,10,926,1
75,10,427,1
76,10,16,1
77,10,18,1
78,10,375,1
79,10,255,1
80,10,930,1
81,10,349,1
82,10,876,1
83,10,585,1
84,10,415,1
85,10,712,1
86,10,142,1
87,10,570,1
88,10,510,1
89,10,718,1
90,10,900,1
91,10,711,1
92,10,171,1
93,10,144,1
94,10,221,1
95,10,41,1
96,10,765,1
97,10,170,1
98,10,487,1
99,10,628,1
100,10,595,1
101,10,15,1
102,10,860,1
103,10,654,1
104,10,617,1
105,10,503,1
106,10,747,1
107,10,568,1
108,10,301,1
109,10,440,1
110,10,773,1
111,10,330,1
112,10,529,1
113,10,50,1
114,10,790,1
115,10,218,1
116,10,293,1
117,10,148,1
118,10,673,1
119,10,307,1
120,10,400,1
121,10,895,1
122,10,701,1
123,10,355,1
