,TF,Target,Label
0,0,678,1
1,0,712,1
2,0,499,1
3,0,657,1
4,0,931,1
5,0,795,1
6,0,444,1
7,0,972,1
8,0,1164,1
9,0,873,1
10,0,158,1
11,0,43,1
12,0,831,1
13,0,758,1
14,0,599,1
15,0,587,1
16,0,71,1
17,0,224,1
18,0,21,1
19,0,226,1
20,0,406,1
21,0,622,1
22,0,280,1
23,0,1243,1
24,0,1205,1
25,0,20,1
26,0,35,1
27,0,469,1
28,0,542,1
29,0,1296,1
30,0,483,1
31,0,927,1
32,0,780,1
33,0,332,1
34,0,945,1
35,0,659,1
36,0,595,1
37,0,1141,1
38,0,526,1
39,0,250,1
40,0,217,1
41,0,408,1
42,0,1249,1
43,0,446,1
44,0,146,1
45,0,1124,1
46,0,98,1
47,0,484,1
48,0,1192,1
49,0,836,1
50,0,1152,1
51,0,138,1
52,0,1305,1
53,0,839,1
54,0,1277,1
55,0,264,1
56,0,126,1
57,0,697,1
58,0,216,1
59,0,1112,1
60,0,1128,1
61,0,419,1
62,0,1301,1
63,0,427,1
64,0,1111,1
65,0,154,1
66,0,639,1
67,0,337,1
68,0,559,1
69,0,239,1
70,0,192,1
71,0,568,1
72,0,1203,1
73,0,1019,1
74,0,1115,1
75,0,1283,1
76,0,182,1
77,0,455,1
78,0,518,1
79,0,1236,1
80,0,904,1
81,0,1251,1
82,0,545,1
83,0,990,1
84,0,854,1
85,0,7,1
86,0,784,1
87,0,87,1
88,0,878,1
89,165,32,1
90,165,1248,1
91,213,847,1
92,213,1088,1
93,278,618,1
94,278,761,1
95,278,1014,1
96,278,960,1
97,278,538,1
98,278,444,1
99,278,727,1
100,278,368,1
101,278,1089,1
102,278,1136,1
103,278,933,1
104,278,1104,1
105,278,1284,1
106,278,891,1
107,278,399,1
108,278,1110,1
109,278,369,1
110,278,516,1
111,278,895,1
112,278,112,1
113,278,925,1
114,278,98,1
115,278,1005,1
116,278,542,1
117,278,501,1
118,278,147,1
119,278,1249,1
120,278,800,1
121,278,1299,1
122,278,446,1
123,278,208,1
124,278,454,1
125,278,74,1
126,278,867,1
127,278,235,1
128,278,599,1
129,278,942,1
130,278,919,1
131,278,687,1
132,278,1205,1
133,278,567,1
134,278,141,1
135,278,1222,1
136,278,185,1
137,278,646,1
138,278,1116,1
139,278,831,1
140,278,340,1
141,278,505,1
142,278,138,1
143,278,199,1
144,278,377,1
145,278,0,1
146,278,902,1
147,278,113,1
148,278,196,1
149,278,691,1
150,278,302,1
151,278,190,1
152,278,1236,1
153,278,126,1
154,278,576,1
155,278,1051,1
156,278,362,1
157,278,619,1
158,278,189,1
159,278,43,1
160,278,713,1
161,332,35,1
162,332,599,1
163,332,66,1
164,332,1228,1
165,332,1239,1
166,332,1222,1
167,332,1056,1
168,332,1022,1
169,332,1127,1
170,332,621,1
171,332,49,1
172,332,730,1
173,332,24,1
174,332,283,1
175,332,123,1
176,332,719,1
177,332,2,1
178,332,227,1
179,332,188,1
180,332,1261,1
181,332,1189,1
182,332,971,1
183,332,182,1
184,332,1212,1
185,332,1307,1
186,332,196,1
187,332,455,1
188,332,1074,1
189,332,937,1
190,332,973,1
191,332,1030,1
192,332,1170,1
193,332,208,1
194,332,843,1
195,332,276,1
196,332,190,1
197,332,268,1
198,332,1020,1
199,332,1242,1
200,332,1054,1
201,332,873,1
202,332,1082,1
203,332,870,1
204,332,857,1
205,332,665,1
206,332,737,1
207,332,151,1
208,332,398,1
209,332,714,1
210,332,1108,1
211,332,479,1
212,332,869,1
213,332,164,1
214,332,1115,1
215,332,1088,1
216,332,1111,1
217,332,788,1
218,332,1117,1
219,332,282,1
220,332,681,1
221,332,1285,1
222,332,684,1
223,332,444,1
224,332,717,1
225,332,850,1
226,332,890,1
227,332,904,1
228,332,829,1
229,332,369,1
230,332,154,1
231,332,67,1
232,332,1062,1
233,332,508,1
234,332,933,1
235,332,262,1
236,332,197,1
237,332,815,1
238,332,1225,1
239,332,797,1
240,332,1110,1
241,332,62,1
242,332,761,1
243,332,213,1
244,332,171,1
245,332,27,1
246,332,1103,1
247,332,585,1
248,332,31,1
249,332,844,1
250,332,894,1
251,332,773,1
252,332,1216,1
253,332,254,1
254,332,846,1
255,332,484,1
256,332,907,1
257,332,972,1
258,332,359,1
259,332,862,1
260,332,1096,1
261,332,767,1
262,332,795,1
263,332,611,1
264,332,1136,1
265,332,126,1
266,332,898,1
267,332,246,1
268,332,337,1
269,332,509,1
270,332,1036,1
271,332,253,1
272,332,579,1
273,332,422,1
274,332,43,1
275,332,352,1
276,332,1163,1
277,332,553,1
278,332,341,1
279,332,480,1
280,332,691,1
281,332,945,1
282,332,918,1
