,TF,Target,Label
0,1,245,1
1,1,308,1
2,1,505,1
3,1,378,1
4,1,677,1
5,1,346,1
6,1,60,1
7,1,375,1
8,1,343,1
9,1,190,1
10,1,219,1
11,1,543,1
12,1,39,1
13,1,676,1
14,1,544,1
15,1,659,1
16,1,682,1
17,1,586,1
18,1,590,1
19,1,350,1
20,1,154,1
21,1,258,1
22,1,526,1
23,1,503,1
24,1,617,1
25,1,604,1
26,1,349,1
27,1,28,1
28,1,50,1
29,1,360,1
30,1,319,1
31,1,98,1
32,1,485,1
33,1,478,1
34,1,322,1
35,1,417,1
36,1,7,1
37,1,274,1
38,1,661,1
39,1,414,1
40,1,171,1
41,1,585,1
42,1,591,1
43,1,355,1
44,1,606,1
45,1,644,1
46,1,198,1
47,1,448,1
48,1,453,1
49,1,600,1
50,1,162,1
51,1,13,1
52,1,21,1
53,1,568,1
54,1,80,1
55,1,527,1
56,1,599,1
57,1,268,1
58,1,550,1
59,1,354,1
60,1,158,1
61,1,487,1
62,1,535,1
63,1,524,1
64,1,135,1
65,1,12,1
66,1,445,1
67,1,575,1
68,1,227,1
69,1,455,1
70,1,76,1
71,1,64,1
72,1,428,1
73,1,611,1
74,1,175,1
75,1,669,1
76,1,368,1
77,1,66,1
78,1,281,1
79,1,581,1
80,1,185,1
81,1,220,1
82,1,202,1
83,1,51,1
84,1,72,1
85,1,260,1
86,1,82,1
87,1,120,1
88,1,33,1
89,1,69,1
90,1,631,1
91,1,102,1
92,1,703,1
93,1,642,1
94,1,330,1
95,1,324,1
96,1,565,1
97,1,18,1
98,1,633,1
99,1,34,1
100,1,431,1
101,1,696,1
102,1,234,1
103,1,678,1
104,1,502,1
105,1,201,1
106,1,536,1
107,1,310,1
108,1,498,1
109,1,680,1
110,1,49,1
111,1,29,1
112,1,541,1
113,1,205,1
114,1,65,1
115,1,580,1
116,1,54,1
117,1,357,1
118,1,108,1
119,1,369,1
120,1,246,1
121,1,638,1
122,1,416,1
123,1,67,1
124,1,654,1
125,1,243,1
126,1,702,1
127,1,389,1
128,1,652,1
129,1,576,1
130,1,313,1
131,1,461,1
132,1,628,1
133,1,439,1
134,1,509,1
135,1,688,1
136,1,364,1
137,1,116,1
138,1,353,1
139,1,522,1
140,1,447,1
141,1,434,1
142,1,698,1
143,1,556,1
144,1,188,1
145,1,379,1
146,1,143,1
147,1,138,1
148,1,622,1
149,1,563,1
150,1,402,1
151,1,435,1
152,1,14,1
153,1,232,1
154,1,559,1
155,1,545,1
156,1,466,1
157,1,236,1
158,1,610,1
159,1,293,1
160,1,592,1
161,1,195,1
162,1,75,1
163,1,500,1
164,1,653,1
165,1,247,1
166,1,456,1
167,1,272,1
168,1,157,1
169,1,376,1
170,1,19,1
171,1,463,1
172,1,425,1
173,1,275,1
174,1,146,1
175,1,163,1
176,1,340,1
177,1,367,1
178,1,597,1
179,1,209,1
180,1,393,1
181,1,534,1
182,1,85,1
183,1,430,1
184,1,643,1
185,1,35,1
186,1,176,1
187,1,99,1
188,1,132,1
189,1,596,1
190,1,119,1
191,1,159,1
192,1,217,1
193,1,25,1
194,1,199,1
195,1,213,1
196,1,422,1
197,1,373,1
198,1,196,1
199,1,45,1
200,1,474,1
201,1,454,1
202,1,651,1
203,1,170,1
204,1,501,1
205,1,558,1
206,1,692,1
207,1,480,1
208,1,691,1
209,1,457,1
210,1,511,1
211,1,391,1
212,1,496,1
213,1,30,1
214,1,672,1
215,1,525,1
216,1,530,1
217,1,664,1
218,1,562,1
219,1,279,1
220,1,144,1
221,1,278,1
222,1,513,1
223,1,637,1
224,1,152,1
225,1,81,1
226,1,686,1
227,1,465,1
228,1,244,1
229,1,84,1
230,1,131,1
231,1,296,1
232,1,451,1
233,1,623,1
234,1,224,1
235,1,486,1
236,1,160,1
237,1,383,1
238,1,655,1
239,1,458,1
240,1,685,1
241,1,174,1
242,1,371,1
243,1,370,1
244,1,271,1
245,1,118,1
246,1,288,1
247,1,608,1
248,1,345,1
249,1,412,1
250,1,697,1
251,1,423,1
252,1,358,1
253,1,147,1
254,1,479,1
255,1,561,1
256,1,10,1
257,1,410,1
258,1,270,1
259,1,690,1
260,1,130,1
261,1,311,1
262,1,528,1
263,12,170,1
264,12,526,1
265,12,207,1
266,12,439,1
267,12,159,1
268,12,659,1
269,12,616,1
270,12,280,1
271,12,110,1
272,12,398,1
273,12,506,1
274,12,336,1
275,12,272,1
276,12,534,1
277,12,582,1
278,12,563,1
279,12,98,1
280,12,248,1
