,TF,Target,Label
0,17,855,1
1,17,326,1
2,17,415,1
3,17,612,1
4,17,474,1
5,17,1036,1
6,17,456,1
7,17,1017,1
8,17,857,1
9,17,802,1
10,17,108,1
11,17,36,1
12,17,461,1
13,17,801,1
14,17,825,1
15,17,112,1
16,17,910,1
17,17,6,1
18,17,678,1
19,17,608,1
20,17,948,1
21,17,846,1
22,17,1037,1
23,17,739,1
24,17,596,1
25,17,1026,1
26,17,972,1
27,17,703,1
28,17,47,1
29,17,365,1
30,17,752,1
31,17,1097,1
32,17,530,1
33,17,585,1
34,17,1091,1
35,17,700,1
36,17,207,1
37,17,1053,1
38,17,216,1
39,17,754,1
40,17,362,1
41,17,234,1
42,17,1031,1
43,17,718,1
44,17,1104,1
45,17,648,1
46,17,263,1
47,17,283,1
48,17,303,1
49,17,888,1
50,17,803,1
51,17,118,1
52,17,240,1
53,17,146,1
54,17,994,1
55,17,370,1
56,17,98,1
57,17,80,1
58,17,687,1
59,17,385,1
60,17,781,1
61,17,317,1
62,17,947,1
63,17,853,1
64,17,1044,1
65,17,940,1
66,17,163,1
67,17,200,1
68,17,696,1
69,17,64,1
70,17,709,1
71,17,406,1
72,17,58,1
73,17,51,1
74,17,88,1
75,17,424,1
76,17,922,1
77,17,302,1
78,17,137,1
79,17,22,1
80,17,544,1
81,17,907,1
82,17,871,1
83,17,394,1
84,17,109,1
85,17,451,1
86,17,1064,1
87,17,811,1
88,17,599,1
89,17,360,1
90,17,468,1
91,17,35,1
92,17,824,1
93,17,692,1
94,17,15,1
95,17,889,1
96,17,527,1
97,17,616,1
98,17,661,1
99,17,793,1
100,17,590,1
101,17,239,1
102,17,214,1
103,17,535,1
104,17,273,1
105,17,426,1
106,17,929,1
107,17,588,1
108,17,173,1
109,17,594,1
110,17,206,1
111,17,76,1
112,17,402,1
113,17,205,1
114,17,291,1
115,17,152,1
116,17,249,1
117,17,619,1
118,17,516,1
119,17,965,1
120,17,519,1
121,17,320,1
122,17,280,1
123,17,1125,1
124,17,764,1
125,17,299,1
126,17,582,1
127,17,367,1
128,17,852,1
129,17,815,1
130,17,466,1
131,17,481,1
132,17,830,1
133,17,1054,1
134,17,772,1
135,17,895,1
136,17,274,1
137,17,447,1
138,17,221,1
139,17,787,1
140,17,561,1
141,17,583,1
142,17,39,1
143,17,507,1
144,17,1081,1
145,17,1115,1
146,17,863,1
147,17,959,1
148,17,1090,1
149,17,893,1
150,17,1019,1
151,17,885,1
152,17,724,1
153,17,1052,1
154,17,807,1
155,17,381,1
156,17,293,1
157,17,1003,1
158,17,356,1
159,17,995,1
160,17,930,1
161,17,589,1
162,17,565,1
163,17,869,1
164,17,121,1
165,17,499,1
166,17,554,1
167,17,698,1
168,17,125,1
169,17,136,1
170,17,61,1
171,17,62,1
172,17,268,1
173,17,1009,1
174,17,485,1
175,17,820,1
176,17,1025,1
177,17,536,1
178,17,369,1
179,17,54,1
180,17,72,1
181,17,537,1
182,17,286,1
183,17,997,1
184,17,779,1
185,17,230,1
186,17,40,1
187,17,1118,1
188,17,371,1
189,17,7,1
190,17,105,1
191,17,379,1
192,17,906,1
193,17,721,1
194,17,681,1
195,17,351,1
196,17,294,1
197,17,610,1
198,17,459,1
199,17,763,1
200,17,670,1
201,17,311,1
202,17,731,1
203,17,138,1
204,17,204,1
205,17,373,1
206,17,197,1
207,17,823,1
208,17,625,1
209,17,759,1
210,17,909,1
211,17,728,1
212,17,970,1
213,17,1055,1
214,17,923,1
215,17,642,1
216,17,340,1
217,17,503,1
218,17,469,1
219,17,744,1
220,17,343,1
221,17,16,1
222,17,613,1
223,17,119,1
224,17,943,1
225,17,384,1
226,17,295,1
227,17,579,1
228,17,292,1
229,17,510,1
230,17,524,1
231,17,275,1
232,17,777,1
233,17,479,1
234,17,420,1
235,17,538,1
236,17,964,1
237,17,120,1
238,17,836,1
239,17,41,1
240,17,867,1
241,17,248,1
242,17,912,1
243,17,827,1
244,17,289,1
245,17,276,1
246,17,327,1
247,17,1028,1
248,17,433,1
249,17,1042,1
250,17,671,1
251,17,877,1
252,17,161,1
253,17,993,1
254,17,837,1
255,17,144,1
256,17,215,1
257,17,1030,1
258,17,627,1
259,17,126,1
260,17,349,1
261,17,434,1
262,17,102,1
263,17,1061,1
264,17,1083,1
265,17,541,1
266,17,321,1
267,17,132,1
268,17,822,1
269,17,770,1
270,17,766,1
271,17,629,1
272,17,63,1
273,17,586,1
274,17,796,1
275,17,1076,1
276,17,298,1
277,17,615,1
278,17,774,1
279,17,316,1
280,17,31,1
281,17,435,1
282,17,222,1
283,17,1110,1
284,17,593,1
285,17,924,1
286,17,1023,1
287,17,1065,1
288,17,628,1
289,17,778,1
290,17,32,1
291,17,401,1
292,17,1107,1
293,17,626,1
294,17,150,1
295,17,445,1
296,17,8,1
297,17,151,1
298,17,768,1
299,17,577,1
300,17,10,1
301,17,159,1
302,17,901,1
303,17,501,1
304,17,887,1
305,17,614,1
306,17,741,1
307,17,932,1
308,17,660,1
309,17,437,1
310,17,1121,1
311,17,873,1
312,17,1041,1
313,17,489,1
314,17,1010,1
315,17,258,1
316,17,694,1
317,17,737,1
318,17,988,1
319,17,974,1
320,17,976,1
321,17,145,1
322,17,117,1
323,17,209,1
324,17,442,1
325,17,701,1
326,17,847,1
327,17,261,1
328,17,532,1
329,17,1060,1
330,17,285,1
331,17,523,1
332,17,11,1
333,17,669,1
334,17,217,1
335,17,162,1
336,17,450,1
337,17,592,1
338,17,584,1
339,17,641,1
340,17,70,1
341,17,765,1
342,17,1034,1
343,17,106,1
344,17,662,1
345,17,306,1
346,17,667,1
347,17,130,1
348,17,1035,1
349,17,348,1
350,17,319,1
351,17,996,1
